id,project_name,contract_name,contract_amount,buyer,supplier,procurement_method
13,玉溪市公立医院改革与高质量发展示范项目--红塔区紧密型县域医共体医疗卫生服务能力提升项目有创呼吸机等设备采购,玉溪市公立医院改革与高质量发展示范项目--红塔区紧密型县域医共体医疗卫生服务能力提升项目有创呼吸机等设备采购,264.25,玉溪市红塔区医疗共同体,未知,公开招标
14,曲靖市沾益区花山街道中心幼儿园教玩具、厨房设备采购（二次）,曲靖市沾益区花山街道中心幼儿园教玩具、厨房设备采购（二次）,88.26,曲靖市沾益区花山街道中心学校,未知,公开招标
15,四川省人工影响天气水资源保障工程人工影响天气指挥能力建设音视频调度服务系统建设(二次),四川省人工影响天气水资源保障工程人工影响天气指挥能力建设音视频调度服务系统建设(二次),1080.0,四川省人工影响天气办公室,未知,公开招标
16,石嘴山市公安局大武口区分局及派出所食堂食材集中配送项目第一标包,石嘴山市公安局大武口区分局及派出所食堂食材集中配送项目第一标包,42.0,石嘴山市公安局大武口区分局,未知,公开招标
17,察布查尔锡伯自治县人民医院数据中心基础设备项目,察布查尔锡伯自治县人民医院数据中心基础设备项目,600.0,察布查尔锡伯自治县人民医院,未知,公开招标
18,2026年龙岩市政务云服务项目,2026年龙岩市政务云服务项目,1350.0,龙岩市大数据中心,未知,公开招标
19,江海区礼乐中学保安及宿管服务采购项目招标公告,江海区礼乐中学保安及宿管服务采购项目招标公告,,未知,未知,公开招标
20,购买医疗制氧系统,购买医疗制氧系统,33.0,广元市利州区大石镇卫生院,未知,公开招标
21,博士后公寓家电采购,博士后公寓家电采购,114.0,武汉理工大学,未知,公开招标
22,宜昌市12345热线运营项目第二次,宜昌市12345热线运营项目第二次,137.7,宜昌市城市运行管理中心,未知,公开招标
23,江门市财政局职工食堂食材配送服务项目招标公告,江门市财政局职工食堂食材配送服务项目招标公告,,未知,未知,公开招标
24,西吉县机关事务服务中心 2025年-2026年1号餐厅、2号餐厅食材采购项目（一至三标段）,西吉县机关事务服务中心 2025年-2026年1号餐厅、2号餐厅食材采购项目（一至三标段）,130.0,西吉县机关事务服务中心,未知,公开招标
25,凤庆县应急管理局登高平台消防车采购项目,凤庆县应急管理局登高平台消防车采购项目,236.0,凤庆县应急管理局,未知,公开招标
26,牟定县人民医院全民健康管护体系建设--全民健康筛查管理系统、硬件及软件服务采购项目,牟定县人民医院全民健康管护体系建设--全民健康筛查管理系统、硬件及软件服务采购项目,160.0,牟定县人民医院,未知,公开招标
27,西吉县机关事务服务中心 2025年-2026年1号餐厅、2号餐厅食材采购项目（四至五标段）,西吉县机关事务服务中心 2025年-2026年1号餐厅、2号餐厅食材采购项目（四至五标段）,50.0,西吉县机关事务服务中心,未知,公开招标
28,嘉定区妇幼保健院产后健康管理病区月嫂服务,嘉定区妇幼保健院产后健康管理病区月嫂服务,216.8,上海市嘉定区妇幼保健院,未知,公开招标
29,嘉闵高架定期检查一标,嘉闵高架定期检查一标,162.0,上海市道路运输事业发展中心,未知,公开招标
30,夏阳街道文体分中心、司法所、征收办物业管理服务项目,夏阳街道文体分中心、司法所、征收办物业管理服务项目,121.88,上海市青浦区人民政府夏阳街道办事处,未知,公开招标
31,北翟、崧泽高架定期检查,北翟、崧泽高架定期检查,136.0,上海市道路运输事业发展中心,未知,公开招标
32,夏阳街道办事处物业管理服务项目,夏阳街道办事处物业管理服务项目,188.0,上海市青浦区人民政府夏阳街道办事处,未知,公开招标
33,林州市交通运输综合行政执法大队林州市治超非现场执法系统后期运维服务项目,林州市交通运输综合行政执法大队林州市治超非现场执法系统后期运维服务项目,619.2,林州市交通运输综合行政执法大队,未知,公开招标
34,南通市经济技术开发区新一代电子政务外网建设项目,南通市经济技术开发区新一代电子政务外网建设项目,528.0,南通市经济技术开发区管理委员会办公室（本级）,未知,公开招标
35,图书馆2026年中文纸质图书,图书馆2026年中文纸质图书,90.0,重庆师范大学,未知,公开招标
36,整体搬迁项目污水处理站设备及安装服务采购项目,整体搬迁项目污水处理站设备及安装服务采购项目,236.0,贵港市中西医结合骨科医院,未知,公开招标
37,昆明医科大学第二附属医院3D4K荧光三合一影像系统等设备采购项目,昆明医科大学第二附属医院3D4K荧光三合一影像系统等设备采购项目,280.0,昆明医科大学第二附属医院,未知,公开招标
38,昆明医科大学第二附属医院危重孕产妇救治中心建设设备采购项目二,昆明医科大学第二附属医院危重孕产妇救治中心建设设备采购项目二,89.6,昆明医科大学第二附属医院,未知,公开招标
39,昆明医科大学第二附属医院血气电解质分析仪等设备采购项目,昆明医科大学第二附属医院血气电解质分析仪等设备采购项目,46.5,昆明医科大学第二附属医院,未知,公开招标
40,2026年春节元宵灯光亮化项目,2026年春节元宵灯光亮化项目,75.0,水富市综合行政执法局,未知,公开招标
41,2026年度区级社会工作服务指导中心及各街道（乡镇）社会工作服务站运营项目,2026年度区级社会工作服务指导中心及各街道（乡镇）社会工作服务站运营项目,200.0,武汉市新洲区民政局,未知,公开招标
42,海南省统计大数据平台2025年升级改造项目,海南省统计大数据平台2025年升级改造项目,397.43,海南省统计局资料管理中心,未知,公开招标
43,宜昌市12345热线运营项目第二次,宜昌市12345热线运营项目第二次,641.1,宜昌市城市运行管理中心,未知,公开招标
44,激光和脉冲光工作站等医疗设备(二次),激光和脉冲光工作站等医疗设备(二次),197.3,福建医科大学附属第二医院,未知,公开招标
45,咸宁市第一人民医院全院医疗设备整体维保服务项目,咸宁市第一人民医院全院医疗设备整体维保服务项目,885.0,咸宁市第一人民医院,未知,公开招标
46,孝昌县环卫设施设备更新项目（一期）四标段,孝昌县环卫设施设备更新项目（一期）四标段,938.3,孝昌县城市管理执法局本级,未知,公开招标
47,西南交通大学犀浦校区环境与生物材料交叉技术创新中心第三方检测服务采购项目（第二次）,西南交通大学犀浦校区环境与生物材料交叉技术创新中心第三方检测服务采购项目（第二次）,220.69,西南交通大学,未知,公开招标
48,南京鼓楼医院集成应用门户系统,南京鼓楼医院集成应用门户系统,30.0,南京鼓楼医院,未知,公开招标
49,花果山水帘洞内多维体验营造项目,花果山水帘洞内多维体验营造项目,1350.0,连云港市花果山风景区管理处（本级）,未知,公开招标
50,江苏省省级机关医院中药饮片及代煎服务项目,江苏省省级机关医院中药饮片及代煎服务项目,5286.0,江苏省省级机关医院,未知,公开招标
51,2025年儿科医疗服务能力建设基础医疗设备采购项目(二次),2025年儿科医疗服务能力建设基础医疗设备采购项目(二次),51.45,眉山市人民医院,未知,公开招标
52,中山市坦洲人民医院（中山市中西医结合医院）外送检验及病理共建服务采购项目(五次)公开招标公告,中山市坦洲人民医院（中山市中西医结合医院）外送检验及病理共建服务采购项目(五次)公开招标公告,,未知,未知,公开招标
53,2026年度实验材料及办公用品政府采购提前采购项目,2026年度实验材料及办公用品政府采购提前采购项目,600.0,四川省药品检验研究院（四川省医疗器械检测中心、四川养麝研究所）,未知,公开招标
54,海原县教育体育局2025年海原县薄弱环节改善和能力提升设备采购项目(二)四标段,海原县教育体育局2025年海原县薄弱环节改善和能力提升设备采购项目(二)四标段,1122.5,海原县教育体育局,未知,公开招标
55,中国科学院深圳先进技术研究院实验动物服务采购项目,中国科学院深圳先进技术研究院实验动物服务采购项目,695.0,中国科学院深圳先进技术研究院,未知,公开招标
56,2026年厅政府网站运行维护与内容监测服务,2026年厅政府网站运行维护与内容监测服务,103.0,四川省交通运输厅信息中心,未知,公开招标
57,南宁市城市更新规划（2025-2030年）,南宁市城市更新规划（2025-2030年）,776.84,南宁市住房和城乡建设局,未知,公开招标
58,电子鼻咽喉镜,电子鼻咽喉镜,105.0,秦皇岛市第一医院,未知,公开招标
59,保定市市级成品粮油储备承储服务项目,保定市市级成品粮油储备承储服务项目,85.5,保定市发展和改革委员会本级,未知,公开招标
60,保定市“好房子”优选地块及2025年度“土地云选”平台运维工作项目,保定市“好房子”优选地块及2025年度“土地云选”平台运维工作项目,168.0,保定市土地储备中心,未知,公开招标
61,百色市田阳区环卫清扫保洁政府购买服务项目,百色市田阳区环卫清扫保洁政府购买服务项目,9535.89,百色市田阳区城市管理监督局,未知,公开招标
62,顺昌县2025年第三期死亡松树专业化除害处理服务采购项目,顺昌县2025年第三期死亡松树专业化除害处理服务采购项目,198.0,顺昌县林业局,未知,公开招标
63,庆阳市人民医院数字化医用X线摄影系统等医疗设备采购项目(二次),庆阳市人民医院数字化医用X线摄影系统等医疗设备采购项目(二次),299.0,庆阳市人民医院,未知,公开招标
64,保山市隆阳区2026年校园学生食堂大宗食品及配送服务采购,保山市隆阳区2026年校园学生食堂大宗食品及配送服务采购,4186.95,保山市隆阳区教育体育局,未知,公开招标
65,弥渡县中医医院医疗设备维修保养服务采购项目,弥渡县中医医院医疗设备维修保养服务采购项目,120.0,弥渡县中医医院,未知,公开招标
66,元谋县第一人民医院洗涤外包社会化服务采购项目,元谋县第一人民医院洗涤外包社会化服务采购项目,160.0,元谋县第一人民医院,未知,公开招标
67,曲靖市中医医院磁刺激仪等设备采购项目,曲靖市中医医院磁刺激仪等设备采购项目,186.5,曲靖市中医医院,未知,公开招标
68,2025年韶关市卫生健康系统医用设备采购项目（第二批）-彩色超声诊断系统采购项目招标公告,2025年韶关市卫生健康系统医用设备采购项目（第二批）-彩色超声诊断系统采购项目招标公告,,未知,未知,公开招标
69,2026年长期护理保险护理耗材第三方配送和辅具适配租赁服务项目,2026年长期护理保险护理耗材第三方配送和辅具适配租赁服务项目,320.0,汉中市医疗保障局,未知,公开招标
70,2025年黄冈市公安局刑事技术专业耗材第二次,2025年黄冈市公安局刑事技术专业耗材第二次,280.32,黄冈市公安局本级,未知,公开招标
71,湖北省直属机关医院医疗设备采购,湖北省直属机关医院医疗设备采购,134.0,湖北省直属机关医院,未知,公开招标
72,顺义区文化中心运营项目-保安服务,顺义区文化中心运营项目-保安服务,202.0,北京市顺义区文化和旅游局本级,未知,公开招标
73,国家统计局四川调查总队四川省第四次全国农业普查农作物种植用地和设施农业遥感测量服务,国家统计局四川调查总队四川省第四次全国农业普查农作物种植用地和设施农业遥感测量服务,563.0,国家统计局四川调查总队,未知,公开招标
74,祥云县公安局“天眼卫士”公共视频监控采购项目,祥云县公安局“天眼卫士”公共视频监控采购项目,113.0,祥云县公安局,未知,公开招标
75,杭州市富阳中医骨伤医院柴油采购项目（2026年度）,杭州市富阳中医骨伤医院柴油采购项目（2026年度）,600.0,杭州市富阳中医骨伤医院,未知,公开招标
76,2025年扩大学前教育资源奖补设备采购项目（重）,2025年扩大学前教育资源奖补设备采购项目（重）,630.86,南宁市江南区教育局,未知,公开招标
77,普宁市中医医院医疗护理辅助服务项目（第二次）招标公告,普宁市中医医院医疗护理辅助服务项目（第二次）招标公告,,未知,未知,公开招标
78,竹山县医共体公共卫生医疗救治综合能力提升项目（健康管理中心及医养康复中心（中医药服务能力提升）二期建设项目）（设备采购及安装）,竹山县医共体公共卫生医疗救治综合能力提升项目（健康管理中心及医养康复中心（中医药服务能力提升）二期建设项目）（设备采购及安装）,728.32,竹山县中医医院,未知,公开招标
79,孝昌县环卫设施设备更新项目（一期）三标段,孝昌县环卫设施设备更新项目（一期）三标段,1058.0,孝昌县城市管理执法局本级,未知,公开招标
80,2026年食品重点实验室分析类采购项目,2026年食品重点实验室分析类采购项目,146.0,四川农业大学,未知,公开招标
81,广州民航职业技术学院飞机维修工程学院教学实训系统建设项目,广州民航职业技术学院飞机维修工程学院教学实训系统建设项目,105.0,广州民航职业技术学院,未知,公开招标
82,标准化示范基地网络服务平台建设(三次),标准化示范基地网络服务平台建设(三次),19.0,四川轻化工大学,未知,公开招标
83,超高时空组学显微成像系统,超高时空组学显微成像系统,310.0,上海交通大学医学院,未知,公开招标
84,福州市鼓楼区2025-2028年夜景灯光设施维护管养服务项目,福州市鼓楼区2025-2028年夜景灯光设施维护管养服务项目,460.1,福州市鼓楼区景观综合整治管理中心,未知,公开招标
85,诏安县城市更新技术咨询项目,诏安县城市更新技术咨询项目,300.0,诏安县住房和城乡建设局,未知,公开招标
86,“双高建设”智慧党建管理平台建设项目,“双高建设”智慧党建管理平台建设项目,130.0,昆明幼儿师范高等专科学校,未知,公开招标
87,易门县紧密型县域医共体十街分院2025年医疗卫生综合服务能力提升项目设备购置,易门县紧密型县域医共体十街分院2025年医疗卫生综合服务能力提升项目设备购置,29.98,易门县紧密型医共体总医院,未知,公开招标
88,太原市汾河景区2026年度二期安保服务项目,太原市汾河景区2026年度二期安保服务项目,864.01,太原市汾河景区管理委员会,未知,公开招标
89,2025年甘肃省庆阳市马莲河流域陇东地区生态保护修复和水土流失综合治理项目庆城县人工造乔木林(二次),2025年甘肃省庆阳市马莲河流域陇东地区生态保护修复和水土流失综合治理项目庆城县人工造乔木林(二次),392.2,庆城县林业和草原局,未知,公开招标
90,防灾减灾科学与工程教学实验室项目,防灾减灾科学与工程教学实验室项目,330.0,阿坝师范学院,未知,公开招标
91,广东省重点医院先进医疗设备更新项目（珠三角一）-手术设备（CZ2025-1653）招标公告,广东省重点医院先进医疗设备更新项目（珠三角一）-手术设备（CZ2025-1653）招标公告,,未知,未知,公开招标
92,宁县早胜双通道苹果分拣线建设项目,宁县早胜双通道苹果分拣线建设项目,273.2,宁县果业发展中心,未知,公开招标
93,太原市汾河景区2026年度一期安保服务项目,太原市汾河景区2026年度一期安保服务项目,187.96,太原市汾河景区管理委员会,未知,公开招标
94,新疆维吾尔自治区天山东部国有林管理局2026年小蠹虫受害木采伐清理项目,新疆维吾尔自治区天山东部国有林管理局2026年小蠹虫受害木采伐清理项目,3992.89,新疆维吾尔自治区天山东部国有林管理局,未知,公开招标
95,广东省重点医院先进医疗设备更新项目（珠三角一）-电子消化道内镜系统（CZ2025-1659）招标公告,广东省重点医院先进医疗设备更新项目（珠三角一）-电子消化道内镜系统（CZ2025-1659）招标公告,,未知,未知,公开招标
96,上饶市中心医院病理科耗材、试剂采购项目-A包（病理常用试剂、耗材）（第四次）,上饶市中心医院病理科耗材、试剂采购项目-A包（病理常用试剂、耗材）（第四次）,80.7,上饶市中心医院,未知,公开招标
97,上饶科技中专半军事化管理采购项目,上饶科技中专半军事化管理采购项目,175.35,上饶科技中等专业学校,未知,公开招标
98,江西省洪都监狱2026年罪犯生活物资(净菜)采购及配送项目,江西省洪都监狱2026年罪犯生活物资(净菜)采购及配送项目,1008.5,江西省洪都监狱,未知,公开招标
99,上饶职业技术学院大数据学院数字现代产业学院建设项目,上饶职业技术学院大数据学院数字现代产业学院建设项目,108.47,上饶职业技术学院,未知,公开招标
100,宜丰县中医院医疗自助机系统及智慧共享中药房采购项目（2包）,宜丰县中医院医疗自助机系统及智慧共享中药房采购项目（2包）,116.0,宜丰县中医院,未知,公开招标
101,上饶市公安局广信分局移动警务终端采购,上饶市公安局广信分局移动警务终端采购,174.0,上饶市公安局广信分局,未知,公开招标
102,南昌市西湖区妇幼保健院工程建设项目配套设施设备采购(2号楼配套医疗设备),南昌市西湖区妇幼保健院工程建设项目配套设施设备采购(2号楼配套医疗设备),62.02,南昌市西湖区卫生健康委员会,未知,公开招标
103,赣州市公安局开发区分局2025年机关、黄金派出所等食堂食材采购,赣州市公安局开发区分局2025年机关、黄金派出所等食堂食材采购,300.0,赣州市公安局经开区分局,未知,公开招标
104,宜丰县中医院医疗自助机系统及智慧共享中药房采购项目（1包）,宜丰县中医院医疗自助机系统及智慧共享中药房采购项目（1包）,120.0,宜丰县中医院,未知,公开招标
105,江西水利职业学院白水湖校区多媒体教室及监控改造项目,江西水利职业学院白水湖校区多媒体教室及监控改造项目,400.0,江西水利职业学院,未知,公开招标
106,南昌市洪都中医院采购彩色多普勒超声诊断仪项目,南昌市洪都中医院采购彩色多普勒超声诊断仪项目,400.0,南昌市洪都中医院,未知,公开招标
107,江西水利职业学院湖东校区新馆智能化设备项目,江西水利职业学院湖东校区新馆智能化设备项目,320.0,江西水利职业学院,未知,公开招标
108,泰和县国家储备林建设项目（2025年度人工造林）服务采购,泰和县国家储备林建设项目（2025年度人工造林）服务采购,494.42,泰和县天湖山林场,未知,公开招标
109,体外膜肺机（ECMO）采购项目,体外膜肺机（ECMO）采购项目,220.0,金阳县人民医院,未知,公开招标
110,昭通市中医医院耳鼻喉科、皮肤科等2个科室医疗设备采购,昭通市中医医院耳鼻喉科、皮肤科等2个科室医疗设备采购,312.66,昭通市中医医院,未知,公开招标
111,山西医科大学第一医院妇科超高清腹腔镜系统等设备项目,山西医科大学第一医院妇科超高清腹腔镜系统等设备项目,445.0,山西医科大学第一医院,未知,公开招标
112,2025年医疗设备采购项目第三批,2025年医疗设备采购项目第三批,135.2,古蔺县人民医院,未知,公开招标
113,城固县加油站智慧监管云平台服务项目,城固县加油站智慧监管云平台服务项目,220.0,城固县数据服务中心,未知,公开招标
114,医用气体系统运维托管服务采购项目(三次),医用气体系统运维托管服务采购项目(三次),35.0,内江市中医医院,未知,公开招标
115,中国科学院上海微系统与信息技术研究所离子束刻蚀单元,中国科学院上海微系统与信息技术研究所离子束刻蚀单元,550.0,中国科学院上海微系统与信息技术研究所,未知,公开招标
116,河北省信息工程学校教学环境提升改造项目,河北省信息工程学校教学环境提升改造项目,0.0,河北省信息工程学校,未知,公开招标
117,应急救援和指挥通信装备采购项目（标一）,应急救援和指挥通信装备采购项目（标一）,1177.5,杭州市应急管理局,未知,公开招标
118,沈阳市和平区南京街第一小学（和平大街校区）食材采购,沈阳市和平区南京街第一小学（和平大街校区）食材采购,110.0,沈阳市和平区南京街第一小学,未知,公开招标
119,大足区2025-2028年度公务车辆定点保险服务采购,大足区2025-2028年度公务车辆定点保险服务采购,0.0,重庆市大足区区级机关事务服务中心,未知,公开招标
120,盘锦市公安局警用装备购置项目,盘锦市公安局警用装备购置项目,87.4,盘锦市公安局,未知,公开招标
121,浙江省法人数字证书基础服务采购项目,浙江省法人数字证书基础服务采购项目,2369.75,浙江省经济和信息化厅（本级）,未知,公开招标
122,中国人民银行上海市分行公车驾驶服务外包项目,中国人民银行上海市分行公车驾驶服务外包项目,99.0,中国人民银行上海市分行,未知,公开招标
123,2025年杂交手术室采购项目,2025年杂交手术室采购项目,1510.61,成都市第三人民医院,未知,公开招标
124,云南大学呈贡校区大健康研发中心科研设备项目采购,云南大学呈贡校区大健康研发中心科研设备项目采购,717.04,云南大学,未知,公开招标
125,宣恩县公路事业发展中心专业化养护,宣恩县公路事业发展中心专业化养护,221.22,宣恩县公路事业发展中心,未知,公开招标
126,磨憨—磨丁合作区第一中学食材采购及配送项目,磨憨—磨丁合作区第一中学食材采购及配送项目,230.1,磨憨—磨丁合作区第一中学,未知,公开招标
127,会泽县人民医院神经外科数字减影血管造影X射线机采购项目,会泽县人民医院神经外科数字减影血管造影X射线机采购项目,1000.0,云南省曲靖市会泽县人民医院,未知,公开招标
128,丘北县中医医院智慧医院信息化建设采购项目,丘北县中医医院智慧医院信息化建设采购项目,308.0,丘北县中医医院,未知,公开招标
129,安庆市消防救援支队2025年度灭火救援装备建设项目,安庆市消防救援支队2025年度灭火救援装备建设项目,8.01,安庆市消防救援支队,未知,公开招标
130,2025年第五批医疗设备采购项目,2025年第五批医疗设备采购项目,160.8,成都市第二人民医院,未知,公开招标
131,云南农业大学植物保护实验教学中心专用教学设备采购项目2025-96号,云南农业大学植物保护实验教学中心专用教学设备采购项目2025-96号,121.45,云南农业大学,未知,公开招标
132,广州市番禺区何贤纪念医院检验病理检测服务项目（2026-2029年）招标公告,广州市番禺区何贤纪念医院检验病理检测服务项目（2026-2029年）招标公告,,未知,未知,公开招标
133,阜宁县人民医院HIS信息系统维保采购项目,阜宁县人民医院HIS信息系统维保采购项目,98.0,阜宁县人民医院,未知,公开招标
134,南京鼓楼医院基于大模型的门诊病历质控系统,南京鼓楼医院基于大模型的门诊病历质控系统,46.0,南京鼓楼医院,未知,公开招标
135,滨湖区机关事务管理局2026—2027年度食堂食材配送服务项目,滨湖区机关事务管理局2026—2027年度食堂食材配送服务项目,273.0,无锡市滨湖区机关事务管理局（本级）,未知,公开招标
136,2024年中央政法转移支付资金子项目（健康一体机等一批医疗设备）,2024年中央政法转移支付资金子项目（健康一体机等一批医疗设备）,58.75,苏州市公安局,未知,公开招标
137,超高清胃肠镜系统等一批医疗设备采购项目招标公告,超高清胃肠镜系统等一批医疗设备采购项目招标公告,,未知,未知,公开招标
138,徐圩新区2026-2028年政策性农业保险服务,徐圩新区2026-2028年政策性农业保险服务,492.39,国家东中西区域合作示范区（连云港徐圩新区）社会事业局本级,未知,公开招标
139,黑龙江省高级人民法院第二办公区安检设备采购招标公告,黑龙江省高级人民法院第二办公区安检设备采购招标公告,,未知,未知,公开招标
140,2026年校园安保和消控室服务,2026年校园安保和消控室服务,224.0,苏州市实验小学校,未知,公开招标
141,南京鼓楼医院医疗版式云文档中心,南京鼓楼医院医疗版式云文档中心,110.0,南京鼓楼医院,未知,公开招标
142,东太湖水源地水质波动调查诊断,东太湖水源地水质波动调查诊断,709.0,苏州市吴江生态环境局,未知,公开招标
143,邯郸市中医院神经外科手术显微镜,邯郸市中医院神经外科手术显微镜,60.0,邯郸市中医院,未知,公开招标
144,青县城镇环境基础设施更新项目,青县城镇环境基础设施更新项目,4573.0,青县住房和城乡建设局本级,未知,公开招标
145,廊坊市城市管理综合行政执法局物业管理服务项目,廊坊市城市管理综合行政执法局物业管理服务项目,56.09,廊坊市城市管理综合行政执法局本级,未知,公开招标
146,滦平县幼儿园城乡保教质量信息化提升系统,滦平县幼儿园城乡保教质量信息化提升系统,99.96,滦平县教育和体育局本级,未知,公开招标
147,医学美容设备采购项目,医学美容设备采购项目,489.0,衡水市人民医院,未知,公开招标
148,珲春市（含示范区）智慧路灯、数字化升级改造能源托管服务项目（二次公告）,珲春市（含示范区）智慧路灯、数字化升级改造能源托管服务项目（二次公告）,12007.5,珲春市住房和城乡建设局,未知,公开招标
149,庆阳市西峰区北街实验学校西峰区北街实验学校教学楼功能区调整项目（智慧黑板）购置安装招标公告,庆阳市西峰区北街实验学校西峰区北街实验学校教学楼功能区调整项目（智慧黑板）购置安装招标公告,,未知,未知,公开招标
150,医疗设备(YYZB2025-18)采购项目（三次）,医疗设备(YYZB2025-18)采购项目（三次）,800.0,陕西省人民医院,未知,公开招标
151,贵州省贵阳市2025年中央财政国土绿化示范项目(双龙航空港经济区),贵州省贵阳市2025年中央财政国土绿化示范项目(双龙航空港经济区),1414.21,贵州双龙航空港经济区生态环境局,未知,公开招标
152,牟定县整合型老年医学服务体系项目设备采购（第二批）,牟定县整合型老年医学服务体系项目设备采购（第二批）,60.0,牟定县中医医院,未知,公开招标
153,云南省妇幼保健院新院信息化建设项目一期基础设施及办公设备采购项目（第一批）,云南省妇幼保健院新院信息化建设项目一期基础设施及办公设备采购项目（第一批）,1174.67,云南省妇幼保健院,未知,公开招标
154,学生管理及校园安保服务项目,学生管理及校园安保服务项目,300.0,广西理工职业技术学校,未知,公开招标
155,运维项目采购控制价审核,运维项目采购控制价审核,104.83,北京市水利工程管理中心本级,未知,公开招标
156,青羊区司法局司法所2026年社会工作服务,青羊区司法局司法所2026年社会工作服务,150.0,成都市青羊区司法局,未知,公开招标
157,物业管理服务(二次),物业管理服务(二次),31.0,眉山市妇幼保健院,未知,公开招标
158,牡丹江市肿瘤医院医疗设备采购(四次)招标公告,牡丹江市肿瘤医院医疗设备采购(四次)招标公告,,未知,未知,公开招标
159,长江镇江航道处2026年度船舶小修及改造项目,长江镇江航道处2026年度船舶小修及改造项目,171.0,长江南京航道局镇江航道管理处,未知,公开招标
160,绍兴市文化广电旅游局关于2026年度办公用房租赁项目,绍兴市文化广电旅游局关于2026年度办公用房租赁项目,1277.74,绍兴市文化广电旅游局（本级）,未知,公开招标
161,超声类医疗设备采购项目,超声类医疗设备采购项目,1500.0,黔西南布依族苗族自治州人民医院,未知,公开招标
162,三台县2025年制种大县（油菜制种智能化管理）项目,三台县2025年制种大县（油菜制种智能化管理）项目,400.0,三台县农业农村局,未知,公开招标
163,医疗卫生补短板项目医疗设备采购(二次),医疗卫生补短板项目医疗设备采购(二次),45.32,宁德市蕉城区金涵卫生院,未知,公开招标
164,浦锦街道办事处2026年物业服务采购项目,浦锦街道办事处2026年物业服务采购项目,330.0,上海市闵行区浦锦街道办事处,未知,公开招标
165,2026年保育员服务项目,2026年保育员服务项目,160.0,上海市杨浦区控江幼儿园,未知,公开招标
166,民办学校和培训机构设立评估服务,民办学校和培训机构设立评估服务,100.0,上海市浦东新区教育局,未知,公开招标
167,2026年上海市浦东新区绿苑幼儿园保育员营养员服务项目,2026年上海市浦东新区绿苑幼儿园保育员营养员服务项目,340.0,上海市浦东新区绿苑幼儿园,未知,公开招标
168,华南师范大学“华附联盟”教育集团信息平台建设采购项目招标公告,华南师范大学“华附联盟”教育集团信息平台建设采购项目招标公告,,未知,未知,公开招标
169,广东局6个项目建设资金使用情况全过程审计跟踪服务（标段三）,广东局6个项目建设资金使用情况全过程审计跟踪服务（标段三）,65.79,国家粮食和物资储备局广东局,未知,公开招标
170,陕西省西安市消防救援支队“一主三辅”关中区域战勤保障物资采购项目招标公告（二次）,陕西省西安市消防救援支队“一主三辅”关中区域战勤保障物资采购项目招标公告（二次）,,未知,未知,公开招标
171,烟台打捞局8000HP近岸支持船铁舾装件制作安装施工服务,烟台打捞局8000HP近岸支持船铁舾装件制作安装施工服务,260.0,交通运输部烟台打捞局,未知,公开招标
172,烟台打捞局10000HP近岸支持船铁舾装件制作安装施工服务,烟台打捞局10000HP近岸支持船铁舾装件制作安装施工服务,260.0,交通运输部烟台打捞局,未知,公开招标
173,2025年丰台区重大投资项目规划谋划项目其他服务采购项目,2025年丰台区重大投资项目规划谋划项目其他服务采购项目,100.0,北京市丰台区发展和改革委员会（本级）,未知,公开招标
174,星海音乐学院招生考试智慧管理系统建设项目招标公告,星海音乐学院招生考试智慧管理系统建设项目招标公告,,未知,未知,公开招标
