id,product_name,keyword,price,supplier,address,description,product_category,collection_time,collection_time_2,supplier_2,created_at,updated_at
38,亿恩设备A4普通纸传真机复印电话一体机中文显示多功能办公,一体机办公设备,469.8,阜阳亿恩仪器设备有限公司,安徽省阜阳市颍上县慎城镇农贸大市场2期127号,类别：办公文教;办公设备;传真机,设备,2026-01-17,2026-01-17,阜阳亿恩仪器设备有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
39,森克 65寸智能教学一体机办公培训电子白板智慧教室多媒体教学设备,一体机办公设备,3480.0,广州森克电子有限公司,广州市番禺区大石街道石北工业路684号11栋201、207、208、209、210、211、212、213、214、215、216,类别：3C电子;电脑整机;多媒体一体机,设备,2026-01-17,2026-01-17,广州森克电子有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
40,自助终端机 政务办理查询机 智慧业务办理终端设备 办公大厅一体机,一体机办公设备,1500.0,河北创赢智能科技有限公司,河北省保定市易县裴山镇中易水河南路南侧规划支路三十三东侧,类别：3C电子;电脑整机;电脑触控产品,设备,2026-01-17,2026-01-17,河北创赢智能科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
41,办公设备租赁厂家 惠普 M429DW黑白激光一体机,一体机办公设备,90.0,广州忠泰办公设备有限公司,广东广州,类别：办公文教;办公设备;多功能一体机办公设备,设备,2026-01-17,2026-01-17,广州忠泰办公设备有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
42,济南办公设备会议室专用智能教学会议触摸一体机十指触摸无线投屏,一体机办公设备,4500.0,深圳市达林商显科技有限公司,深圳市光明区公明街道上村社区明环东路松白工业园C区1号厂房205,类别：办公文教;办公设备;触控产品,设备,2026-01-17,2026-01-17,深圳市达林商显科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
43,一体机出租 打印机租赁 乐讯办公设备 彩色数码复合机出租,一体机办公设备,300.0,佛山市禅城区江湾乐讯办公设备经营部,广东佛山,类别：办公文教;办公设备;其他办公设备,设备,2026-01-17,2026-01-17,佛山市禅城区江湾乐讯办公设备经营部,2026-01-18 13:17:32,2026-01-18 13:17:32
44,自助政务服务终端设备办公大厅查询核验打印一体机自助终端机定制,一体机办公设备,3999.0,深圳市享安通科技有限公司,深圳市福田区园岭街道华林社区八卦四路52号安吉尔大厦1436A,类别：安全防护;安全检查;身份证识别仪,设备,2026-01-17,2026-01-17,深圳市享安通科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
45,云办公一体机 国产云桌面软件 瘦客户机设备供应,一体机办公设备,680.0,深圳市天源腾创科技有限公司,深圳市福田区莲花街道彩虹社区彩云路2号长城盛世家园一期A栋2801,类别：3C电子;电脑整机;工控电脑产品,设备,2026-01-17,2026-01-17,深圳市天源腾创科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
46,绝对值 工控设备 政务金融办公 零售服务终端等行业 10.1寸安卓一体机,一体机办公设备,1250.0,苏州绝对值智能科技有限公司,苏州市吴中区木渎镇谢村路5号2幢三层、四层,类别：3C电子;电脑整机;触碰一体机,设备,2026-01-17,2026-01-17,苏州绝对值智能科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
47,自助终端机查询取票打印一体机办公大厅自助服务终端设备定制厂家,一体机办公设备,2000.0,亚辉世鼎信息科技（北京）有限公司,北京市海淀区显龙山路19号1幢2层1座213-2,类别：电子元器件;多媒体/显示器件/显示模块;触摸屏/触控屏,设备,2026-01-17,2026-01-17,亚辉世鼎信息科技（北京）有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
48,中异科技 多功能办公设备 75寸触摸电脑一体机,一体机办公设备,6800.0,郑州中异电子科技有限公司,河南省郑州市高新技术产业开发区药厂路81号1号楼1单元21层126号,类别：办公文教;办公设备;多功能一体机办公设备,设备,2026-01-17,2026-01-17,郑州中异电子科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
49,智能会议平板触摸一体机 远程视频 教学办公设备触摸显示智慧商用,一体机办公设备,65000.0,甘肃欣叶网络科技有限公司,甘肃省兰州市城关区范家湾安置A区6号楼东单元705室,类别：办公文教;多媒体教学设备及系统;触控一体机,设备,2026-01-17,2026-01-17,甘肃欣叶网络科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
50,升降一体机美格视听品牌全新无纸化会议办公设备,一体机办公设备,120000.0,广州市美格视听科技有限公司,广州市白云区江高镇塘贝南环路1号B栋301房,类别：机械设备;机械设备配件/附件;其他机械设备配件/附件,设备,2026-01-17,2026-01-17,广州市美格视听科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
51,感触feeltouch智能一体机 办公定制服务无忧设备,一体机办公设备,3800.0,河南品辰智能科技有限公司,河南省郑州市高新技术产业开发区长椿路11号13号楼1单元23层243号,类别：办公文教;金融专用设备;自助缴费终端,设备,2026-01-17,2026-01-17,河南品辰智能科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
52,蓝光商显65英寸会议一体机 远程网络办公教学设备 触摸屏会议平板,一体机办公设备,5500.0,四川蓝光商显科技有限公司,四川省成都市温江区锦绣大道南段281号2栋2单元501号,类别：广电通信;广告/展览器材;广告机,设备,2026-01-17,2026-01-17,四川蓝光商显科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
53,学校办公楼宿舍楼一体化废水处理设备 水处理地埋一体机,一体机办公设备,13000.0,山东广晟环保科技有限公司,山东省潍坊市诸城市开发区老泰薛路南,类别：机械设备;水处理设备;水处理成套设备,设备,2026-01-17,2026-01-17,山东广晟环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
54,食品厂加工企业污水处理设备厂区办公楼生活废水处理一体机装置,一体机办公设备,9999.0,山东广晟环保科技有限公司,山东省潍坊市诸城市开发区老泰薛路南,类别：机械设备;水处理设备;水处理成套设备,设备,2026-01-17,2026-01-17,山东广晟环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
55,隆炫科技 液晶屏无纸化办公设备智能会议系统一体机超薄升降器,一体机办公设备,2000.0,成都隆炫科技有限公司,四川德阳,类别：广电通信;会议系统;嵌入式会议系统,设备,2026-01-17,2026-01-17,成都隆炫科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
56,圣兴 专业 双面复印机出租 多功能扫描一体机 办公设备上门安装,一体机办公设备,198.0,圣兴办公伙伴（广东）商贸有限公司,广东省东莞市寮步镇爱业路10号305室,类别：转让租赁加工;租赁服务;办公文教设备租赁,设备,2026-01-17,2026-01-17,圣兴办公伙伴（广东）商贸有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
57,无 纸化升降一体机 办公系统设备方案 善百智能,一体机办公设备,1000.0,上海善百智能科技有限公司,上海市奉贤区汇丰北路1515弄1号2幢A119室,类别：机械设备;通用设备;其他通用设备,设备,2026-01-17,2026-01-17,上海善百智能科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
58,8-86英寸会议平板交互式电子教学办公设备一体机86M5,一体机办公设备,679.0,深圳星河智慧科技有限公司,深圳市福田区沙头街道天安社区泰然八路18号深圳安华工业区4栋四层（东侧）420J,类别：办公文教;学习类电子产品;学生平板,设备,2026-01-17,2026-01-17,深圳星河智慧科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
59,浩田 立式自助访客机 人证核验登记一体机 楼宇办公来访终端设备,一体机办公设备,25800.0,广州浩田数码科技有限公司,广州市番禺区大龙街市新路新水坑段41号217、218,类别：电子元器件;多媒体/显示器件/显示模块;触摸屏/触控屏,设备,2026-01-17,2026-01-17,广州浩田数码科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
60,韦优小区排水盖板 公路排水沟水篦子盖板下水道井盖,井盖,26.0,无锡韦优金属构件有限公司,无锡市惠山区玉祁街道隆祁路258,类别：建材家装;设施及施工材料;盖板及沟盖,其他,2026-01-17,2026-01-17,无锡韦优金属构件有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
61,钢墩墩不锈钢隐形井盖厂家 定做方形 人形道装饰井 盖,井盖,26.0,广东钢墩墩金属制造有限公司,佛山市南海区狮山镇官窑大榄 ull“大坑桥”地段自编E区1号之二,类别：建材家装;设施及施工材料;盖板及沟盖,其他,2026-01-17,2026-01-17,广东钢墩墩金属制造有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
62,排水沟盖板井盖 市政下水道雨水排放 中电可定制产品,井盖,45.0,中 ull电力科技有限公司,山东淄博,类别：建材家装;设施及施工材料;其他设施及施工材料,其他,2026-01-17,2026-01-17,中 ull电力科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
63,承重型热镀锌钢格板扁钢条焊接钢结构平台踏步板水沟排水篦子井盖,井盖,35.0,安平县赛鑫丝网制品有限公司,河北省衡水市安平县安平镇南张沃村村西260米处,类别：建材家装;建筑建材;钢格板,其他,2026-01-17,2026-01-17,安平县赛鑫丝网制品有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
64,水泥检查井井盖 管道混凝土电缆井 坚固使用 适用于水利工程,井盖,190.0,济宁中天杆塔有限公司,山东省济宁市嘉祥县马村镇南陆村村东500米,类别：建材家装;砌筑材料;混凝土制品,其他,2026-01-17,2026-01-17,济宁中天杆塔有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
65,厂家批发 球墨铸铁防沉降井盖 可调式五防用的,井盖,290.0,山东聊城健晖铸造有限公司,山东省聊城经济技术开发区北城办事处王辉工业园6号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东聊城健晖铸造有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
66,方形500x500球墨铸铁井盖 安装方便 规格齐全 可加工定制,井盖,77.0,山东聊城健晖铸造有限公司,山东省聊城经济技术开发区北城办事处王辉工业园6号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东聊城健晖铸造有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
67,球墨井盖源头直供D400/D600全系覆盖 满1000套单价降5%+专车配送,井盖,4300.0,山西飞翔铸业有限公司,山西省晋城市泽州县南村镇牛匠村村南200米处,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山西飞翔铸业有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
68,树脂电缆沟盖板 下水道排水沟板 市政雨水篦子井盖 国钰新材 实力大厂,井盖,30.0,山东国钰新材料有限公司,山东省淄博市淄博经济开发区沣水镇四角方村村委北300米院内北侧,类别：建材家装;设施及施工材料;盖板及沟盖,其他,2026-01-17,2026-01-17,山东国钰新材料有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
69,球墨铸铁圆形井盖500*600 700*800打磨精整 施工便捷 源头定制,井盖,10.0,山东繁程金属制品有限公司,山东省聊城市高新技术产业开发区许营镇潘庙村115号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东繁程金属制品有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
70,球墨铸铁d400井盖 国标品质 使用寿命长 厂家直供 稳定防腐,井盖,3000.0,晋城市三通铸造有限公司,山西省晋城市泽州县南村镇西峪村东南1300米,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,晋城市三通铸造有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
71,鑫翔铭球墨铸铁井盖800圆形检查井B125化粪池密封井窖承载力强,井盖,88.0,山东鑫翔铭钢铁有限公司,山东省聊城市高新区许营镇汪庄村6-1号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东鑫翔铭钢铁有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
72,鑫翔铭球墨铸铁圆井防沉降井盖700*900防滑防响防移位防坠落加厚,井盖,106.0,山东鑫翔铭钢铁有限公司,山东省聊城市高新区许营镇汪庄村6-1号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东鑫翔铭钢铁有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
73,附近球墨铸铁井盖厂 DN700重型井盖篦子生产厂电话 鑫翔铭现货速发,井盖,115.0,山东鑫翔铭钢铁有限公司,山东省聊城市高新区许营镇汪庄村6-1号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东鑫翔铭钢铁有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
74,华盛 适用于给水工程 隐形井盖 检修口 规格齐全,井盖,65.0,常州市华盛环保科技有限公司,武进国家高新技术产业开发区万塔村工业集中区19-20号东边厂房二楼,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,常州市华盛环保科技有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
75,球墨铸铁五防井盖 圆形方形电力井盖厂家 延时矿山机械,井盖,198.0,武安市延时矿山机械有限公司,河北省邯郸市武安市张里店村东,类别：五金机电;五金配件;井盖,机械,2026-01-17,2026-01-17,武安市延时矿山机械有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
76,涵硕 DN700球墨铸铁井盖 防锈处理可定制LOGO小区用井 盖 承重能力强,井盖,173.0,山东涵硕钢铁有限公司,山东省聊城经济技术开发区蒋官屯街道辽河路东首兴隆钢管城A区21-1号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东涵硕钢铁有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
77,昌驰厂按需定制 球墨铸铁三防五防防沉降井盖 来图来文案加工,井盖,210.0,山东昌驰金属材料有限公司,山东省聊城市东昌府区韩集乡曹庄村156-2号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东昌驰金属材料有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
78,供应水泥井盖 可承载压力大结合严密 品质一级,井盖,65.0,保定达慧通建材有限公司,河北省保定市徐水区瀑河乡解村,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,保定达慧通建材有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
79,铭城 防沉降 园区高速主干道 球墨铸铁井盖厂家 700*900*190 带防坠网,井盖,363.0,山东铭城金属制品有限公司,山东省聊城经济技术开发区蒋官屯街道辽河路南大地实业有限责任公司院内办公楼4楼406室,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,山东铭城金属制品有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
80,轻重型 球墨铸铁井盖 450*750 支持定制 符合国标要求,井盖,80.0,聊城市金泰来金属制品有限公司,山东省聊城经济开发区中华路财智大厦6003号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,聊城市金泰来金属制品有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
81,钢纤维混凝土检查井盖 圆形 人形辅路水篦子可定制 型号,井盖,300.0,成都京盛川贸易有限公司,四川省成都市金牛区金丰路6号7栋3单元14层31402号,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,成都京盛川贸易有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
82,井兴牌复合材料井盖高分子直径400mm重量轻免跷跳响移位等现象,井盖,55.0,河北威力东方复合材料有限公司,河北省衡水市枣强县枣强镇门庄村郑昔路路南,类别：五金机电;五金配件;井盖,其他,2026-01-17,2026-01-17,河北威力东方复合材料有限公司,2026-01-18 13:17:32,2026-01-18 13:17:32
