id,contract_number,contract_name,project_number,project_name,buyer,buyer_address,buyer_contact,supplier,supplier_address,supplier_contact,main_target_name,specs,main_target_quantity,main_target_unit_price,contract_amount,performance_info,procurement_method,contract_sign_date,contract_announce_date,other_supplements,administrative_region,industry,agency,file_name,source,purchase_type,project_type
409,ZKQ2025-010118669ZF(H),华中科技大学同济医学院附属同济医院组织脱水机采购项目,ZKQ2025-010118669ZF(H),华中科技大学同济医学院附属同济医院组织脱水机采购项目,华中科技大学同济医学院附属同济医院,湖北省武汉市解放大道1095号,冉主任027-83662896,,,,采购组织脱水机3台，采购预算49.6万元。,采购组织脱水机3台，采购预算49.6万元。,1,详见招标文件,49.6,交货验收期：合同签订后90天内,公开招标,2025年12月29日 15:31,2025年12月29日 15:31,"1.本项目接受进口产品投标。
2.我司于投标截止时间前1小时内接收投标文件。
3.投标报价超出采购预算或最高限价（如有）的，作无效标处理。
4.本项目需落实绿色发展（节能环保）、中小微型企业扶持（含支持监狱企业发展、促进残疾人就业）、支持创新等相关政府采购政策，小微企业扣除比例为10%，监狱企业、残疾人福利单位扣除比例为20%，节能产品、环境标志产品扣除比例为1%，具体适用规则详见招标文件。",湖北省,医疗健康,中科器湖北有限公司,zhaobiao_1767007034_20.txt,zhaobiao,公开招标,其他
410,JSZC-320400-JZCG-G2025-0563,江苏城乡建设职业学院2026-2029年宿舍物业管理服务,JSZC-320400-JZCG-G2025-0563,江苏城乡建设职业学院2026-2029年宿舍物业管理服务,江苏城乡建设职业学院,江苏省常州市殷村职教园和裕路1号,13606115574,,,,江苏城乡建设职业学院学生宿舍物业管理服务工作。具体包括学生宿舍区的资产管理、设施设备报修、安全巡查、门岗值班、公共区域的卫生保洁，学生宿舍的卫生检查、查夜查寝，学校住宿学生的辅助教育管理。,江苏城乡建设职业学院学生宿舍物业管理服务工作。具体包括学生宿舍区的资产管理、设施设备报修、安全巡查、门岗值班、公共区域的卫生保洁，学生宿舍的卫生检查、查夜查寝，学校住宿学生的辅助教育管理。,1,详见招标文件,675.0,三年（2026年2月1日至2029年1月31日），具体开始时间以中标供应商正式进场起算，其中：2026年2月1日至2026年7月15日为试用期，试用期满经甲方考核合格后，合同方为有效。合同一年一签，一年合同服务期满后，甲方根据考核结果确定是否续签下一年的服务合同，若考核情况良好，服务合同进行续签，续签最多不超过2次（含2次）。,公开招标,2025年12月29日 15:27,2025年12月29日 15:27,电子化招投标技术支持电话：0519-85588210,江苏省,建筑工程,常州市政府采购中心,zhaobiao_1767007043_1.txt,zhaobiao,公开招标,服务
411,JSZC-320000-HTMY-G2025-0024,南京工业大学中空纤维纳米杂化膜制备装置采购,JSZC-320000-HTMY-G2025-0024,南京工业大学中空纤维纳米杂化膜制备装置采购,南京工业大学,南京市浦口区浦珠南路30号,15951602016,,,,标的清单,标的清单,1,详见招标文件,170.0,合同签订之日起60天内完成供货安装,公开招标,2025年12月29日 15:26,2025年12月29日 15:26,"1.
采购代理机构内部编号：
1678-254110215HTT
2.获取招标文件时间：2025年12月30日至2026年1月6日，每天上午9点00分至11点30分，下午13点30分至17点00分（北京时间，法定节假日除外），若潜在投标人未能在上述期限内向采购代理机构购买，则其投标将被拒绝。
3.
采购项目需要落实的政府采购
政策
：本项目执行《政府采购促进中小企业发展管理办法》《关于政府采购支持监狱企业发展有关问题的通知》《关于促进残疾人就业政府采购政策的通知》《关于调整优化节能产品、环境标志产品政府采购执行机制的通知》
《商品包装政府采购需求标准（试行）》《快递包装政府采购需求标准（试行）》
等政府采购
政策
文件。
4
.
本项目招标公告发布媒体：
江苏政府采购网",江苏省,其他,江苏汉唐国际贸易集团有限公司,zhaobiao_1767007046_2.txt,zhaobiao,公开招标,其他
412,JSZC-321281-XCDL-G2025-0003,兴化市市级卡口水环境管护项目,JSZC-321281-XCDL-G2025-0003,兴化市市级卡口水环境管护项目,兴化市河长制综合协调中心,兴化市丰收北路13号,13912099512,,,,兴化市市级卡口水环境管护,兴化市市级卡口水环境管护,1,详见招标文件,175.96,自合同签订之日起一年,公开招标,2025年12月29日 15:26,2025年12月29日 15:26,"1.本项目共分2个包（第1包和第2包），采用顺序评审方式。每家供应商可参与全部包的投标，但最多只能中标1个包。评审将按照包号顺序（第1包、第2包）依次进行，若供应商在已评审的包中被确定为中标人，则不参加后面包的评审。
2.
如在报名中有任何疑问，请拨打电子化政府采购技术支持电话：
0523-86897512、89182460。",江苏省,环境保护,泰州信诚招标代理有限公司,zhaobiao_1767007049_3.txt,zhaobiao,公开招标,其他
413,JSZC-320000-HTMY-G2025-0023,小孔径超滤膜制备装置采购,JSZC-320000-HTMY-G2025-0023,小孔径超滤膜制备装置采购,南京工业大学,南京市浦口区浦珠南路30号,15951602016,,,,标的清单,标的清单,1,详见招标文件,150.0,合同签订之日起30天内完成供货安装,公开招标,2025年12月29日 15:26,2025年12月29日 15:26,"1.采购代理机构内部编号：
1678-254110216HTT
2.
获取招标文件
时间：
2025年
12
月
30
日至
202
6
年
1
月
6
日，每天上午
9点00分至11点30分，下午13点30分至17点00分（北京时间，法定节假日除外），若潜在投标人未能在
上述期限内
向采购代理机构购买，则其投标将被拒绝。
3
.采购项目需要落实的政府采购
政策
：本项目执行《政府采购促进中小企业发展管理办法》《关于政府采购支持监狱企业发展有关问题的通知》《关于促进残疾人就业政府采购政策的通知》《关于调整优化节能产品、环境标志产品政府采购执行机制的通知》
《商品包装政府采购需求标准（试行）》《快递包装政府采购需求标准（试行）》
等政府采购
政策
文件。
4
.
本项目招标公告发布媒体：
江苏政府采购网",江苏省,其他,江苏汉唐国际贸易集团有限公司,zhaobiao_1767007050_4.txt,zhaobiao,公开招标,其他
414,JSZC-320312-JSRY-G2025-0030,徐州高新区建设工程安全监管第三方技术服务,JSZC-320312-JSRY-G2025-0030,徐州高新区建设工程安全监管第三方技术服务,徐州高新技术产业开发区管理委员会,徐州市铜山区珠江东路11号,0516-83405974,,,,本项目拟委托有相应能力的第三方机构，对高新区区域内的房屋、市政施工项目开展生产安全检查、专项检查、整改指导、复查。对采购人安全监管范围内的日常工作提供技术服务，协助完成相关安全专业技术工作，详见招标文件。,本项目拟委托有相应能力的第三方机构，对高新区区域内的房屋、市政施工项目开展生产安全检查、专项检查、整改指导、复查。对采购人安全监管范围内的日常工作提供技术服务，协助完成相关安全专业技术工作，详见招标文件。,1,详见招标文件,120.0,24个月,公开招标,2025年12月29日 15:26,2025年12月29日 15:26,"（一）获取招标文件说明
招标文件提供期限届满后仍可以下载，期限届满后下载的招标文件，视为非有效方式且不作为供应商权益受到损害的证明材料和依据。
（二）投标文件的提交与接收：
1.线上提交投标文件截止时间（2026年1月21日10:00）前。
2.投标文件提交与接收地点：苏采云系统（详见招标文件）。
（三）询问和质疑
1.根据采购代理机构与采购人签订的本采购项目的《委托代理协议》，供应商对政府采购活动事项有疑问的，可以向采购人或采购代理机构提出询问；供应商认为采购文件、采购过程、中标或成交结果使自己的权益受到损害的，可以在知道或者应知其权益受到损害之日起七个工作日内，以书面形式向采购人或采购代理机构提出质疑，由采购人或采购代理机构依法处理。
2.供应商在法定质疑期内一次性提出针对同一采购程序环节的质疑。
3.质疑函
接收质疑函的方式：供应商直接送交或供应商通过邮寄。
联系部门：江苏瑞阳工程咨询有限公司
接收质疑函的方式：供应商直接送交或供应商通过EMS邮寄。
质疑接收人：宋雅      联系电话：18852112461
地址：徐州市新城区绿地商务城D座五楼。
（四）招标文件的澄清或者修改
采购代理机构可以对已发出的招标文件进行必要的澄清或者修改。对招标文件进行澄清或者修改的，通过“苏采云”系统及徐州政府采购网公告澄清或者修改的内容。澄清或者修改的内容以所发布的本项目的“更正（澄清）公告”的形式通知所有获取招标文件的潜在投标人。发布本项目的“更正（澄清）公告”后采购代理机构已尽通知义务。敬请各潜在投标人关注本项目的“更正（澄清）公告”，并通过“苏采云”系统重新下载更正（澄清）后的采购文件（后缀名为“.kedt”），离线编制投标文件，否则，将自行承担相应的风险。
（五）终止招标
终止招标的，采购代理机构应当及时在原公告发布媒体上发布终止公告，以“终止公告”的形式通知已经获取招标文件的潜在投标人，发布本项目的“终止公告”后采购代理机构已尽通知义务。敬请各潜在投标人关注本项目的“终止公告”，否则，将自行承担相应的风险。
（六）说明
1.本项目不接受联合体参与采购活动，成交后不得转包或分包。
2.单位负责人为同一人或者存在直接控股、管理关系的不同供应商，不得参加同一合同项下的政府采购活动。
3.为本采购项目提供整体设计、规范编制或者项目管理、监理、检测等服务的供应商，不得再参加本采购项目的采购活动。
(七)采购项目需要落实的政府采购政策
政府采购促进中小企业发展；促进残疾人就业政府采购政策；政府采购支持监狱企业发展等。
(八)特别说明
本项目采用“苏采云”系统远程不见面开标方式。
（九）采购意向链接：
http://czj.xz.gov.cn/Home/HomeDetails?type=cgyx&articleid=5d0ed1e5-cd0d-4fe0-b22a-16ccc07f32e2",全国,建筑工程,江苏瑞阳工程咨询有限公司,zhaobiao_1767007052_5.txt,zhaobiao,公开招标,工程
415,JSZC-320581-JZCG-G2025-0071,常熟市体育中心体育场足球场地及配套设施改造电子屏,JSZC-320581-JZCG-G2025-0071,常熟市体育中心体育场足球场地及配套设施改造电子屏,常熟市体育发展中心,常熟市新世纪大道凯文路8号,0512-52729255,,,,常熟市体育发展中心所需的,常熟市体育发展中心所需的,1,详见招标文件,98.46,2026年3月5日前完成所有设备的采购、安装调试等工作。,公开招标,2025年12月29日 15:26,2025年12月29日 15:26,"1
、
CA
证书办理：根据省财政厅《关于更换全省政府采购交易系统
CA
数字证书和电子签章的通知》（苏财购〔
2023
〕
101
号），“苏
采云”系统目前支持的
CA
数字证书、电子签章为江苏省电子政务证书认证中
心
CA
和方正国际软件（北京）有限公司电子签章。
供应商参与本项目采购活动需办理、使用上述
CA
证书和电子签章，具体办理方法请登录“苏州市政府采购网”点击“苏采云”图标，在系统登录界面中“
CA
办理指南”查阅，江苏省内各地区办理的“苏采云”系统下的政务
CA
证书全省通用。苏州现场办理地址：苏州高新区邓尉路
105
号狮山科技馆
1
楼服务大厅，也可线上办理，咨询电话：
0512-65737699
。
2
、参与项目：供应商插入
CA
证书登录“苏采云”系统后选择具体项目，点击“我要参与”并签章提交《投标供应商确认函》，提交《投标供应商确认函》日期视同为依法获取招标文件日期。对《投标供应商确认函》供应商应予打印保留。
3
、电子投标准备：供应商在“苏采云”系统中操作参与项目后，必须在“已参与项目”界面中下载电子招标文件（后缀名为“
.kedt
”）并导入政府采购客户端工具后方可进行电子投标文件的制作、加密和提交，具体事项请登录“苏州市政府采购网”，在“下载中心”栏目下载《苏采云系统供应商操作手册》
（以下简称《操作手册》）查阅
。
4
、投标人在“苏
采云”
系统操作过程中如有疑问，请按以下方式联系：
CA
技术咨询电话：
400-608-6099
；电子签章技术咨询电话：
15380932027
、
13675197356
、
025-83633811
、
025-83633812
；系统使用指导与咨询电话：
18261002950
、
13914088964
、
0519-86722802
；智能客服：登录苏采云系统后，联系系统右下方智能客服图标进行咨询。
5
、有关本次采购的事项若存在变动或修改，敬请及时关注常熟市公共资源交易中心在指定公告媒体发布的更正公告，并按规定获取相关信息内容。
6
、本次招标不收取投标保证金。",江苏省,文化旅游,常熟市公共资源交易中心,zhaobiao_1767007054_6.txt,zhaobiao,公开招标,其他
416,JSZC-321192-LXDL-G2025-0032,镇江经开区大港片区住宅小区生活垃圾分类作业服务,JSZC-321192-LXDL-G2025-0032,镇江经开区大港片区住宅小区生活垃圾分类作业服务,镇江经济技术开发区综合行政执法局,江苏镇江新区银山支路8号,0511-80869200,,,,镇江经开区大港片区住宅小区生活垃圾分类作业服务，本项目共分,镇江经开区大港片区住宅小区生活垃圾分类作业服务，本项目共分,1,详见招标文件,297.29,包1、包2：服务期三年，合同一年一签，次年合同在前一年度履约良好的情况下续签下一年度的合同。,公开招标,2025年12月29日 15:26,2025年12月29日 15:26,"1.本项目通过“苏采云”系统进行采购，请在投标前详细阅读《“苏采云”系统供应商操作手册》（下载路径：江苏政府采购网——资料下载——《江苏省政府采购交易管理系统（苏采云）供应商操作指南》）；投标人在使用系统进行投标的过程中如遇到涉及“苏采云”系统使用的任何问题，应在工作日上午9：00-11:30 下午13:30-17:30期间致电技术支持热线咨询，联系方式：0519-86722803、0519-96722805。
2.投标人投标需提前办理数字认证证书，办理方式和注意事项详见:
镇江地区意源（方正）办理方式：镇江市润州区冠城路
8号工人大厦7楼公共资源交易中心大厅CA窗口。工作日办公时间：9：00-12：00、13：30-17：30。联系人：邵娟，联系电话：13655287962，办理指南地址：http://jsxcmm.com/help/gys.html。",江苏省,服务业,江苏隆信项目管理有限公司,zhaobiao_1767007055_7.txt,zhaobiao,公开招标,服务
417,N5101012025002296,一住改造第一批家具采购,N5101012025002296,一住改造第一批家具采购,成都市中西医结合医院（成都市第一人民医院、成都市中医医院）,成都市高新区万象北路18号,蒋老师 028-85329503,,,,详见采购需求附件,详见采购需求附件,1,详见招标文件,74.9,采购包1：自合同签定生效后，采购人通知送货后35天内。 （分批供货，采购人每批次要货后，采购人在5个日历日内确认产品颜色、尺寸、原材料等细节，中标供应商应在采购人确认后30个日历日内交货，随即在7个日历日内安装完成）,公开招标,2025年12月29日 15:25,2025年12月29日 15:25,"1.本项目情况：计划编号：51010025210200047412。
2.采购预算及最高限价：投标人报价不得超过招标文件中规定的预算金额，投标人报价不得超过最高限价，采购预算及最高限价详见附件采购需求。
3.监督管理部门：成都市财政局，联系电话：028-61882648，地址：成都市锦城大道366号成都市市级机关第三办公区2号楼11/12层。
4.本项目需要落实的政府采购政策：促进中小企业发展、促进监狱企业发展、促进残疾人福利性单位发展。
5.本项目实行电子化采购，使用的电子化交易系统为：四川省政府采购一体化平台的项目电子化交易系统（以下简称“交易系统”），登录地址：四川政府采购网（www.ccgp-sichuan.gov.cn）首页供应商用户登录入口。供应商应当按照以下要求，参与本次电子化采购活动。 一、供应商应当在四川政府采购网-办事指南查看四川省政府采购一体化平台（以下简称“采购平台”）操作规范，并严格按照操作规范要求进行系统操作。供应商参与本项目电子化采购活动的范围主要包括：获取招标文件，编制、签章、加密并提交投标文件，参加开标、解密投标文件和电子评标，签订采购合同等。 二、供应商应当使用纳入全国公共资源交易平台（四川省）数字证书互认范围的数字证书和电子印章，参加本项目电子化采购活动；已按规定办理数字证书和电子印章的供应商，按照采购平台操作规范进行身份信息绑定、权限设置和系统操作。未办理互认的数字证书和电子印章的供应商，可在四川省公共资源交易信息网-办事指南或者四川政府采购网-办事指南查询办理渠道。 供应商使用数字证书登录采购平台进行的一切系统操作和加盖电子印章确认的电子文书资料，均属于供应商真实意思表示，供应商对其系统操作行为和电子印章确认事项承担法律责任。 供应商应当加强数字证书和电子印章的日常校验和保管，确保在参加采购活动期间能够正常使用，严格授权管理，防止非授权操作。 三、供应商应当自行准备电子化采购所需的计算机终端、软硬件及网络环境，承担因准备不足产生的不利后果。 四、采购平台技术支持： 在线客服：通过四川政府采购网-在线客服进行咨询 400服务电话：4001600900 CA及签章服务电话：通过四川政府采购网-办事指南进行查询",四川省,其他,四川国际招标有限责任公司,zhaobiao_1767007058_8.txt,zhaobiao,公开招标,其他
418,FHGJXT-2025005、FHGJXT-2025006,河北省消防救援总队邢台市消防救援支队2025年度装备集中采购项目1包、2包,FHGJXT-2025005、FHGJXT-2025006,河北省消防救援总队邢台市消防救援支队2025年度装备集中采购项目1包、2包,邢台市消防救援支队,邢台市信都区会宁镇会宁西街 66 号,于兵 0319-5718065,,,,A类泡沫灭火剂,A类泡沫灭火剂,1,详见招标文件,56.1,自签订合同之日起45日历天内完成供货,公开招标,2025年12月29日 15:24,2025年12月29日 15:24,"1.已在“河北省公共资源交易服务平台”注册登记的供应商（供应商
），
办理
CA数字证书后,可直接登录“
惠招标电子招投标交易平台
”递交投标文件。
2.未经资格确认（注册登记）的供应商（供应商
），
递交投标文件前需按照“邢
台市公共资源交易中心关于市场主体登记注册的通知”
（
http://60.6.198.121:8888/sszt-zyjyPortal/
）要求，进行注册登记。具体事宜可咨询0319-2686133。
3.投标文件需使用CA数字证书加盖电子签章并进行加密。
4.潜在供应商（供应商）如对招标文件有疑问或异议的，可以在规定时间内通过
惠招标电子招投标交易平台
提出。若供应商（供应商）在使用“
惠招标电子招投标交易平台
”的过程中遇到任何操作性
问题，可咨询客服电话：
400-780-9998
。
5.招标文件等资料发布后，即视为已送达所有潜在供
应商（供应商
），
潜在供应商（供应商）须从“
惠招标电子招投标交易平台
”自行下载，并及时查看有无
澄清或修改。潜在供应商（供应商）未下载相关资料，或未获取到完整资料，导致
投标被否决的，自行承担责任。
6.依据《河北省财政厅河北省政务服务管理办公室关于印
发<政府采购公开招标
项目全面实行“双盲”评审实施方案>的通知》相关要求，本项目采用“双盲”评审。
供应商应按照招标文件要求对投标文件的商务标“明标”、
技术标“暗标”分开制
作，评标委员会按要求对商务标采取明标评审、对技术标采取暗标评审。",河北省,安全防护,丰汇国际项目管理有限公司,zhaobiao_1767007061_9.txt,zhaobiao,公开招标,其他
419,HHZC2025-G3-02959-HHZZ-0079,红河州中医医院2026、2027年物业管理服务项目,HHZC2025-G3-02959-HHZZ-0079,红河州中医医院2026、2027年物业管理服务项目,红河哈尼族彝族自治州中医医院,云南省红河州建水县翠屏路160号,0873-7662205,,,,包含但不限于红河州中医医院本院院区、业务楼、儿童康复中心、实训楼、国医馆、紫陶园区之间堂，19、20幢、医院租赁的宿舍楼、医院外所拥有的自有产权房屋等。中医特色大楼人员待项目完工正式启用时，人员才进场，人员进场才产生费用，医院根据实际服务期限进行费用支付，服务期限内不足两年的期限费用应在合同价款中给予扣出，具体详见招标文件中的“采购需求”。;,包含但不限于红河州中医医院本院院区、业务楼、儿童康复中心、实训楼、国医馆、紫陶园区之间堂，19、20幢、医院租赁的宿舍楼、医院外所拥有的自有产权房屋等。中医特色大楼人员待项目完工正式启用时，人员才进场，人员进场才产生费用，医院根据实际服务期限进行费用支付，服务期限内不足两年的期限费用应在合同价款中给予扣出，具体详见招标文件中的“采购需求”。;,1,详见招标文件,265.0,标段1:本项目服务周期二年，合同一年一签,公开招标,2025年12月29日 15:23,2025年12月29日 15:23,开标方式：网上开标 是否需要缴纳投标保证金：否  其他：无,云南省,医疗健康,红河州政府采购和出让中心,zhaobiao_1767007062_10.txt,zhaobiao,公开招标,服务
420,ZXXT2025015、ZXXT2025016,河北省消防救援总队邢台市消防救援支队2025年度装备集中采购项目3包、4包,ZXXT2025015、ZXXT2025016,河北省消防救援总队邢台市消防救援支队2025年度装备集中采购项目3包、4包,邢台市消防救援支队,邢台市信都区会宁镇会宁西街 66 号,于兵 0319-5718065,,,,干式水域救援服,干式水域救援服,1,详见招标文件,79.818,自签订合同之日起45日历天内完成供货安装,公开招标,2025年12月29日 15:23,2025年12月29日 15:23,"1.已在“河北省公共资源交易服务平台”注册登记的供应商（供应商
），
办理
CA数字证书后,可直接登录“
圣诺联合电子招投标平台
”递交投标文件。
2.未经资格确认（注册登记）的供应商（供应商
），
递交投标文件前需按照“邢
台市公共资源交易中心关于市场主体登记注册的通知”
（
http://60.6.198.121:8888/sszt-zyjyPortal/
）要求，进行注册登记。具体事宜可咨询0319-2686133。
3.投标文件需使用CA数字证书加盖电子签章并进行加密。
4.潜在供应商（供应商）如对招标文件有疑问或异议的，可以在规定时间内通过
圣诺联合电子招投标平台
提出。若供应商（供应商）在使用“
圣诺联合电子招投标平台
”的过程中遇到任何操作性
问题，可咨询客服电话：
0311-66037136、0311-66850300
。
5.招标文件等资料发布后，即视为已送达所有潜在供
应商（供应商
），
潜在供应商（供应商）须从“
圣诺联合电子招投标平台
”自行下载，并及时查看有无
澄清或修改。潜在供应商（供应商）未下载相关资料，或未获取到完整资料，导致
投标被否决的，自行承担责任。
6.依据《河北省财政厅河北省政务服务管理办公室关于印
发<政府采购公开招标
项目全面实行“双盲”评审实施方案>的通知》相关要求，本项目采用“双盲”评审。
供应商应按照招标文件要求对投标文件的商务标“明标”、
技术标“暗标”分开制
作，评标委员会按要求对商务标采取明标评审、对技术标采取暗标评审。",河北省,安全防护,中轩项目管理有限公司,zhaobiao_1767007066_11.txt,zhaobiao,公开招标,其他
421,ZXXT2025015、ZXXT2025016,河北省消防救援总队邢台市消防救援支队2025年度装备集中采购项目3包、4包,ZXXT2025015、ZXXT2025016,河北省消防救援总队邢台市消防救援支队2025年度装备集中采购项目3包、4包,邢台市消防救援支队,邢台市信都区会宁镇会宁西街 66 号,于兵 0319-5718065,,,,快口中压分水器A(二分水),快口中压分水器A(二分水),1,详见招标文件,71.9135,自签订合同之日起45日历天内完成供货安装,公开招标,2025年12月29日 15:23,2025年12月29日 15:23,"1.已在“河北省公共资源交易服务平台”注册登记的供应商（供应商
），
办理
CA数字证书后,可直接登录“
圣诺联合电子招投标平台
”递交投标文件。
2.未经资格确认（注册登记）的供应商（供应商
），
递交投标文件前需按照“邢
台市公共资源交易中心关于市场主体登记注册的通知”
（
http://60.6.198.121:8888/sszt-zyjyPortal/
）要求，进行注册登记。具体事宜可咨询0319-2686133。
3.投标文件需使用CA数字证书加盖电子签章并进行加密。
4.潜在供应商（供应商）如对招标文件有疑问或异议的，可以在规定时间内通过
圣诺联合电子招投标平台
提出。若供应商（供应商）在使用“
圣诺联合电子招投标平台
”的过程中遇到任何操作性
问题，可咨询客服电话：
0311-66037136、0311-66850300
。
5.招标文件等资料发布后，即视为已送达所有潜在供
应商（供应商
），
潜在供应商（供应商）须从“
圣诺联合电子招投标平台
”自行下载，并及时查看有无
澄清或修改。潜在供应商（供应商）未下载相关资料，或未获取到完整资料，导致
投标被否决的，自行承担责任。
6.依据《河北省财政厅河北省政务服务管理办公室关于印
发<政府采购公开招标
项目全面实行“双盲”评审实施方案>的通知》相关要求，本项目采用“双盲”评审。
供应商应按照招标文件要求对投标文件的商务标“明标”、
技术标“暗标”分开制
作，评标委员会按要求对商务标采取明标评审、对技术标采取暗标评审。",河北省,安全防护,中轩项目管理有限公司,zhaobiao_1767007069_12.txt,zhaobiao,公开招标,其他
422,11000025210200161299-XM001,首都医科大学附属北京积水潭医院回龙观院区飞利浦DSA设备维保服务项目,11000025210200161299-XM001,首都医科大学附属北京积水潭医院回龙观院区飞利浦DSA设备维保服务项目,首都医科大学附属北京积水潭医院,北京市西城区新街口东街31号,58516373,,,,序号,序号,1,详见招标文件,140.0,自合同签订之日起2年,公开招标,2025年12月29日 15:22,2025年12月29日 15:22,"1.本项目需要落实的政府采购政策：节约能源、保护环境、促进中小企业及监狱企业发展、促进残疾人就业、支持乡村产业振兴等，政府采购政策具体落实情况详见招标文件。
2.本项目采用电子化与线下流程结合招标方式：线上下载电子招标文件，线下递交纸质投标文件，请供应商认真学习北京市政府采购电子交易平台发布的相关操作手册（供应商可在交易平台下载相关手册），办理CA数字证书或电子营业执照、进行北京市政府采购电子交易平台注册绑定，并认真核实CA数字证书或电子营业执照情况确认是否符合本项目电子化采购流程要求。
CA数字证书服务热线：010-58511086
电子营业执照服务热线：400-699-7000
技术支持服务热线：010-86483801
3.1办理CA数字证书或电子营业执照
供应商登录北京市政府采购电子交易平台查阅“用户指南”—“操作指南”—“市场主体CA办理操作流程指引”/“电子营业执照使用指南”，按照程序要求办理。
3.2注册
供应商登录北京市政府采购电子交易平台“用户指南”—“操作指南”—“市场主体注册入库操作流程指引”进行自助注册绑定。
3.3驱动、客户端下载
供应商登录北京市政府采购电子交易平台“用户指南”—“工具下载”—“招标采购系统文件驱动安装包”下载相关驱动。
供应商登录北京市政府采购电子交易平台“用户指南”—“工具下载”—“投标文件编制工具”下载相关客户端。
3.4 获取电子招标文件
供应商使用CA数字证书或电子营业执照登录北京市政府采购电子交易平台获取电子招标文件。",北京市,医疗健康,中钰招标有限公司,zhaobiao_1767007073_13.txt,zhaobiao,公开招标,服务
423,11000025210200161300-XM001,首都医科大学附属北京积水潭医院三院区岛津品牌放射设备维保服务项目,11000025210200161300-XM001,首都医科大学附属北京积水潭医院三院区岛津品牌放射设备维保服务项目,首都医科大学附属北京积水潭医院,北京市西城区新街口东街31号,58516373,,,,序号,序号,1,详见招标文件,300.0,自合同签订之日起3年,公开招标,2025年12月29日 15:22,2025年12月29日 15:22,"1.本项目需要落实的政府采购政策：节约能源、保护环境、促进中小企业及监狱企业发展、促进残疾人就业、支持乡村产业振兴等，政府采购政策具体落实情况详见招标文件。
2.本项目采用电子化与线下流程结合招标方式：线上下载电子招标文件，线下递交纸质投标文件，请供应商认真学习北京市政府采购电子交易平台发布的相关操作手册（供应商可在交易平台下载相关手册），办理CA数字证书或电子营业执照、进行北京市政府采购电子交易平台注册绑定，并认真核实CA数字证书或电子营业执照情况确认是否符合本项目电子化采购流程要求。
CA数字证书服务热线：010-58511086
电子营业执照服务热线：400-699-7000
技术支持服务热线：010-86483801
3.1办理CA数字证书或电子营业执照
供应商登录北京市政府采购电子交易平台查阅“用户指南”—“操作指南”—“市场主体CA办理操作流程指引”/“电子营业执照使用指南”，按照程序要求办理。
3.2注册
供应商登录北京市政府采购电子交易平台“用户指南”—“操作指南”—“市场主体注册入库操作流程指引”进行自助注册绑定。
3.3驱动、客户端下载
供应商登录北京市政府采购电子交易平台“用户指南”—“工具下载”—“招标采购系统文件驱动安装包”下载相关驱动。
供应商登录北京市政府采购电子交易平台“用户指南”—“工具下载”—“投标文件编制工具”下载相关客户端。
3.4 获取电子招标文件
供应商使用CA数字证书或电子营业执照登录北京市政府采购电子交易平台获取电子招标文件。",北京市,医疗健康,中钰招标有限公司,zhaobiao_1767007079_14.txt,zhaobiao,公开招标,服务
424,N5101012025002284,2025年第二批医疗设备采购项目（12）,N5101012025002284,2025年第二批医疗设备采购项目（12）,成都市中西医结合医院（成都市第一人民医院、成都市中医医院）,成都市高新区万象北路18号,高老师 028-85329503,,,,详见采购需求附件,详见采购需求附件,1,详见招标文件,20.0,采购包1：采购人通知送货后30天内,公开招标,2025年12月29日 15:22,2025年12月29日 15:22,"备案编号：51010025210200046614；
监督投诉单位：成都市财政局；
监督投诉电话：028-61882648；
采购包1：预算金额（元）: 33,000.00；最高限价（元）: 33,000.00；
采购包2：预算金额（元）: 120,000.00；最高限价（元）: 120,000.00；
采购包3：预算金额（元）: 47,000.00；最高限价（元）: 47,000.00。",四川省,医疗健康,联投项目管理（集团）有限公司,zhaobiao_1767007083_15.txt,zhaobiao,公开招标,设备
425,,2026年度东莞虎门港综合保税区政务云资源租赁项目招标公告,,2026年度东莞虎门港综合保税区政务云资源租赁项目招标公告,,,,,,,其他,详见招标文件,1,,,,公开招标,,,,广东省,其他,,zhaobiao_1767007102_16.txt,zhaobiao,公开招标,其他
426,Z1302832502911021,全市一张网线路租赁项目,Z1302832502911021,全市一张网线路租赁项目,迁安市数据科技和工业信息化局,迁安市,0315-5212009,,,,线路租赁服务,线路租赁服务,1,详见招标文件,529.0,A、B、C包合同签订后5日内完工，服务期限一年。,公开招标,2025年12月29日 15:22,2025年12月29日 15:22,在领取招标文件起始时间到递交投标文件截止时间前，若本项目招标文件内容发生的答疑、澄清、变更、补充、文件下载不足三家以及发生投标时间、投标场地变更等情况，将在原公告发布媒体上发布澄清、变更或终止公告，请各潜在供应商予以及时关注原公告媒体，采购机构将不再另行通知，否则造成的不利影响供应商自己承担。编制投标文件需使用企业CA，未办理CA的投标人，需进行企业CA办理。CA办理有一定周期，请及时办理以免影响本次项目。 如因供应商自身原因未能及时注册、审核及线上报名、上传电子投标文件，导致无法参加采购活动，其后果由供应商自行负责。单位负责人为同一人或者存在直接控股、管理关系的不同供应商，不得参加同一合同项下的政府采购活动。为采购项目提供整体设计、规范编制或者项目管理、监理、监测等服务的供应商，不得再参加该采购项目的其他采购活动。,全国,其他,迁安市政府采购中心,zhaobiao_1767007104_17.txt,zhaobiao,公开招标,其他
