contract_number,contract_name,project_number,project_name,buyer,buyer_address,buyer_contact,supplier,supplier_address,supplier_contact,main_target_name,specs,main_target_quantity,main_target_unit_price,contract_amount,performance_info,procurement_method,contract_sign_date,contract_announce_date,other_supplements,administrative_region,industry,agency,file_name,source
HA2025-DLGK-C0103-B02,国家税务总局濮阳市税务局2026年物业管理服务项目中标结果公告,HA2025-DLGK-C0103-B02,国家税务总局濮阳市税务局2026年物业管理服务项目,国家税务总局濮阳市税务局,河南省濮阳市华龙区黄河中路260号,赵女士  0393-6677607,濮阳市恒基物业管理有限公司,市人民路23号,张斯栋,服务,服务要求,1,详见合同,99.6000000（万元）,服务标准,公开招标,2025年12月29日 18:12,2025年12月29日 18:12,代理机构联系方式: 张斯栋  0371-65958908,河南省,服务业,,zhongbiao_1767003983_11.txt,zhongbiao
GDQS2501HG12013J,揭阳市惠来县惠城镇墩高片区人居环境综合整治项目-机械式停车场、成品屋结果公告,GDQS2501HG12013J,揭阳市惠来县惠城镇墩高片区人居环境综合整治项目-机械式停车场、成品屋,惠来县惠城镇人民政府,,0663-6632313,,,陈小姐,品牌,详见招标文件,1,详见合同,227.198700,详见合同,公开招标,2025年12月29日 18:12,2025年12月29日 18:12,代理机构联系方式: 0663-8212178,广东省,环境保护,,zhongbiao_1767003990_12.txt,zhongbiao
LBZC2025-G3-020159-GXKH,广西科宏建设项目管理有限公司关于兴宾区2025年耕地保护暨国土日常变更调查服务工作项目中标公告,LBZC2025-G3-020159-GXKH,兴宾区2025年耕地保护暨国土日常变更调查服务工作项目,来宾市兴宾区自然资源局,,0772-4212033,,1,覃志松,服务,服务要求,1,详见合同,471.380000,服务标准,公开招标,2025年12月29日 18:10,2025年12月29日 18:10,代理机构联系方式: 0772-4280881，18778911060,广西壮族自治区,服务业,,zhongbiao_1767003996_13.txt,zhongbiao
310115000251029146592-15285017,行政辅助事项的中标（成交）结果公告,310115000251029146592-15285017,行政辅助事项,上海市浦东新区城市管理综合行政执法局,,021-58154778,,,胡文筠、何莎,其他,服务要求,1,详见合同,0.000000,服务标准,公开招标,2025年12月29日 18:10,2025年12月29日 18:10,代理机构联系方式: 17621021467,上海市,其他,,zhongbiao_1767003997_14.txt,zhongbiao
1411282025CGK00084,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年退化林修复结果公告,1411282025CGK00084,吕梁市吕梁山西麓三北工程林草湿荒一体化保护修复项目方山县2025年退化林修复,方山县林业局,,0358-6022124,,,张女士、刘先生,工程,服务要求,1,详见合同,973.160000,服务标准,公开招标,2025年12月29日 18:10,2025年12月29日 18:10,代理机构联系方式: 0351-6123198,山西省,建筑工程,,zhongbiao_1767004018_15.txt,zhongbiao
采购计划-[2025]-00306号-JLPC-DL-20251204,吉林省鹏诚项目管理咨询有限公司关于抚松县2025年农村供水保障巩固提升工程中标(成交)结果公告,采购计划-[2025]-00306号-JLPC-DL-20251204,抚松县2025年农村供水保障巩固提升工程,抚松县农村饮水工程建设和科技服务中心,,15943943490,,,公玉,工程,详见招标文件,1,详见合同,254.260000,详见合同,公开招标,2025年12月29日 18:10,2025年12月29日 18:10,代理机构联系方式: 13596780600,吉林省,建筑工程,,zhongbiao_1767004029_16.txt,zhongbiao
,巫溪县数智健康中心信息化建设项目(WXX25C00057)中标（成交）结果公告,,巫溪县数智健康中心信息化建设项目,巫溪县人民医院,巫溪县柏杨街道万通路100号,,中国电信股份有限公司巫溪分公司,重庆市重庆市巫溪县城厢镇环城路129号,杜老师,其他,服务要求,1,详见合同,"2,356,000.00元",服务标准,公开招标,2025年12月29日 18:10,2025年12月29日 18:10,重庆市巫溪县柏杨街道丰益路182号2楼（武装部后院）,重庆市,信息技术,重庆市巫溪县交易中心,zhongbiao_1767004031_17.txt,zhongbiao
,滨海县2026年度残疾人居家托养项目中标公告,,滨海县2026年度残疾人居家托养项目,滨海县残疾人联合会（机关）,育才西路266号（阳光大厦）,,社会信用代码,,张先生,其他,:,1,详见合同,381.600000,:,公开招标,2025年12月29日 18:10,2025年12月29日 18:10,江苏省南京市浦口区星甸街道育才北路9号-1-1045,江苏省,其他,南京鑫灿项目管理有限公司,zhongbiao_1767004033_18.txt,zhongbiao
,江苏省镇江技师学院飞机制造与装配专业国基地建设中标公告,,江苏省镇江技师学院飞机制造与装配专业国基地建设,江苏省镇江技师学院,镇江市丹徒区长香西大道538号,,社会信用代码,,黄向东,其他,详见招标文件,1,详见合同,87.299700,详见合同,公开招标,2025年12月29日 18:09,2025年12月29日 18:09,陕西省西安市经济技术开发区中登文景大厦B座2105,江苏省,建筑工程,中轩项目管理有限公司,zhongbiao_1767004037_19.txt,zhongbiao
GLZB2025-F-194)中标公告,天津市河北区机关事务服务中心 天津市河北区机关事务服务中心2026年度食堂劳务服务项目 (项目编号:GLZB2025-F-194)中标公告,GLZB2025-F-194)中标公告,天津市河北区机关事务服务中心2026年度食堂劳务服务项目,天津市河北区机关事务服务中心,天津市河北区狮子林大街284号,022-26296048,,统一社会信用代码,丁倩,服务,服务要求,1,详见合同,104.700000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河北区鸿顺里街海韵家园25-6号 代理机构联系方式: 022-26456284,天津市,服务业,天津市高瓴招标代理有限责任公司,zhongbiao_1767007319_1.txt,zhongbiao
JZCG-ZX-20251126)中标公告,天津市蓟州区人民医院 天津市蓟州区人民医院电梯维保项目 (项目编号:JZCG-ZX-20251126)中标公告,JZCG-ZX-20251126)中标公告,天津市蓟州区人民医院电梯维保项目,天津市蓟州区人民医院,天津市蓟州区南环路18号,13920477678,,统一社会信用代码,李铁环,其他,服务要求,1,详见合同,101.692800,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市滨海高新区华苑产业区（环外）海泰南北大街67号融汇景苑21号楼2-702 代理机构联系方式: 13021321363,天津市,医疗健康,天津喆兴建设工程咨询有限公司,zhongbiao_1767007322_2.txt,zhongbiao
BH-ZLYY20251005)中标公告,天津市肿瘤医院 天津市肿瘤医院检测服务项目 (项目编号:BH-ZLYY20251005)中标公告,BH-ZLYY20251005)中标公告,天津市肿瘤医院检测服务项目,天津市肿瘤医院,天津市河西区环湖西路,022-23359016,,统一社会信用代码,王卉、李硕璇、陈萌萌、王璟,服务,服务要求,1,详见合同,900.000000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市和平区睦南道109号 代理机构联系方式: 022-23319722,天津市,医疗健康,天津博汇招标有限公司,zhongbiao_1767007324_3.txt,zhongbiao
XYZB2025-JN-09-016)中标公告,天津市津南区交通运输综合行政执法支队 2025年津南区治超卸载地场地租赁 (项目编号:XYZB2025-JN-09-016)中标公告,XYZB2025-JN-09-016)中标公告,2025年津南区治超卸载地场地租赁,天津市津南区交通运输综合行政执法支队,天津市津南区咸水沽镇津沽公路与东沽路交口东南侧,88515256,,统一社会信用代码,刘爽,其他,服务要求,1,详见合同,127.600000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市津南区咸水沽镇吾悦广场B座17楼 代理机构联系方式: 18622301381，16622199080,天津市,其他,天津鑫宇工程咨询有限公司,zhongbiao_1767007326_4.txt,zhongbiao
TGPC-2025-A-0548)中标公告,天津市教育科学研究院 天津市教育科学研究院天津市中学（南开区化学）实验室仪器设备更新项目 (项目编号:TGPC-2025-A-0548)中标公告,TGPC-2025-A-0548)中标公告,天津市教育科学研究院天津市中学（南开区化学）实验室仪器设备更新项目,天津市教育科学研究院,天津市南开区复康路25号,022-58119133,,统一社会信用代码,陈阳,设备,详见招标文件,1,详见合同,47.959700,详见合同,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河东区红星路79号 代理机构联系方式: 022-24538225,天津市,教育,天津市政府采购中心,zhongbiao_1767007327_5.txt,zhongbiao
GLHS-20251208001)中标公告,天津市西青区公路建设养护中心机关 2026年西青区普通公路日常养护项目（北片上半年） (项目编号:GLHS-20251208001)中标公告,GLHS-20251208001)中标公告,2026年西青区普通公路日常养护项目（北片上半年）,天津市西青区公路建设养护中心机关,天津市西青区中北镇九川道与开源路交口中联产业园七号楼,022-27939160,,统一社会信用代码,张工,其他,服务要求,1,详见合同,1227.050000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市西青区中北科技园产业园2区16号楼 代理机构联系方式: 022-58061627,天津市,交通运输,天津广联恒晟工程造价咨询有限公司,zhongbiao_1767007330_6.txt,zhongbiao
KQZX-2025-169)中标公告,天津医科大学 天津医科大学校园绿化及环境卫生养护项目 (项目编号:KQZX-2025-169)中标公告,KQZX-2025-169)中标公告,天津医科大学校园绿化及环境卫生养护项目,天津医科大学,天津市和平区气象台路22号,022-83336763,,统一社会信用代码,姜薇、侯刚、李文怡,其他,服务要求,1,详见合同,82.416800,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市西青区李七庄街卫津南路259号津兰大厦B座1501 代理机构联系方式: 022-23858032,天津市,医疗健康,天津市康桥经济管理咨询有限公司,zhongbiao_1767007333_7.txt,zhongbiao
GRZX2025-C-1081)中标公告,天津医科大学总医院 天津医科大学总医院污水站运行维保项目 (项目编号:GRZX2025-C-1081)中标公告,GRZX2025-C-1081)中标公告,天津医科大学总医院污水站运行维保项目,天津医科大学总医院,天津市和平区鞍山道154号,022-60362025,,统一社会信用代码,黄井磊、李扬、王彩云,其他,服务要求,1,详见合同,167.200000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市南开区二纬路22号311室 代理机构联系方式: 022-58083939,天津市,医疗健康,天津市国瑞咨询有限公司,zhongbiao_1767007341_8.txt,zhongbiao
PYGP-2025-C-0936)中标公告,天津市东丽区人民政府军粮城街道办事处机关 军粮城街新市镇内外环境保障项目 (项目编号:PYGP-2025-C-0936)中标公告,PYGP-2025-C-0936)中标公告,军粮城街新市镇内外环境保障项目,天津市东丽区人民政府军粮城街道办事处机关,天津市东丽区军粮城街道杨台大街4号,022-84854933,,统一社会信用代码,韩颖,其他,服务要求,1,详见合同,686.748000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河西区洞庭路美年广场2号楼309 代理机构联系方式: 022-88391127,天津市,环境保护,天津磐宇咨询有限公司,zhongbiao_1767007360_9.txt,zhongbiao
BNZB-2025-B-1130)中标公告,天津市东丽区教育局机关 天津市东丽区教育局2026年编外人员服务项目 (项目编号:BNZB-2025-B-1130)中标公告,BNZB-2025-B-1130)中标公告,天津市东丽区教育局2026年编外人员服务项目,天津市东丽区教育局机关,天津市东丽区跃进路51号,022-84375704,,统一社会信用代码,高秀玮、杨娜、庞仲伟,服务,服务要求,1,详见合同,783.232000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市华苑高科技产业园区鑫茂科技园军民园6-B-901 代理机构联系方式: 022-23722555,天津市,教育,天津博纳招标代理有限公司,zhongbiao_1767007362_10.txt,zhongbiao
TJRD-2025-B-0141)中标公告,天津市疾病预防控制中心 天津市疾病预防控制中心食堂餐饮服务项目 (项目编号:TJRD-2025-B-0141)中标公告,TJRD-2025-B-0141)中标公告,天津市疾病预防控制中心食堂餐饮服务项目,天津市疾病预防控制中心,天津市河东区华越道6号,022-24330589,,统一社会信用代码,徐芳洲、朱丽娜,服务,服务要求,1,详见合同,501.000000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河北区海河东路1号远洋大厦1417室 代理机构联系方式: 022-59953885,天津市,服务业,天津市融达工程咨询有限公司,zhongbiao_1767007381_11.txt,zhongbiao
HYGP-2025-C-236)中标公告,天津市民政局机关 2025年养老服务评估项目 (项目编号:HYGP-2025-C-236)中标公告,HYGP-2025-C-236)中标公告,2025年养老服务评估项目,天津市民政局机关,天津市南开区苍穹道1号,022-23416022,,统一社会信用代码,远硕,服务,服务要求,1,详见合同,56.820000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河西区友谊北路93号广银大厦1810 代理机构联系方式: 022-23446983,天津市,服务业,天津昊宇工程咨询有限公司,zhongbiao_1767007384_12.txt,zhongbiao
0615-2541022381191)中标公告,天津医科大学总医院滨海医院 天津医科大学总医院滨海医院检验试剂及相关耗材采购项目 (项目编号:0615-2541022381191)中标公告,0615-2541022381191)中标公告,天津医科大学总医院滨海医院检验试剂及相关耗材采购项目,天津医科大学总医院滨海医院,天津市滨海新区汉蔡路159号,022-67127190,,统一社会信用代码,王蕊 周桐 赵婕,其他,详见招标文件,1,详见合同,1300.592800,详见合同,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河西区卫津南路19号 代理机构联系方式: 022-23556628,天津市,医疗健康,天津国际招标有限公司,zhongbiao_1767007387_13.txt,zhongbiao
TJDL-2025-D-0014)中标公告,天津市东丽区机关事务服务中心机关 2026年区级机关办公中心及会议中心物业服务项目 (项目编号:TJDL-2025-D-0014)中标公告,TJDL-2025-D-0014)中标公告,2026年区级机关办公中心及会议中心物业服务项目,天津市东丽区机关事务服务中心机关,天津市东丽区跃进路38号,022-84376797,,统一社会信用代码,刘庆朝,服务,服务要求,1,详见合同,590.928000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市东丽区先锋路9号 代理机构联系方式: 022-84375903,天津市,服务业,天津市东丽区财政事务综合服务中心（天津市东丽区政府采购中心）,zhongbiao_1767007390_14.txt,zhongbiao
SYZXZC-2025-046)中标公告,天津商业大学 天津商业大学浸没液冷高性能一体机及测试系统采购项目 (项目编号:SYZXZC-2025-046)中标公告,SYZXZC-2025-046)中标公告,天津商业大学浸没液冷高性能一体机及测试系统采购项目,天津商业大学,天津市北辰区光荣道409号,022-26686299,,统一社会信用代码,尚云玲,其他,详见招标文件,1,详见合同,138.600000,详见合同,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市华苑产业园区工华道中电科创新园西塔17层 代理机构联系方式: 022-23708701,天津市,软件开发,天津市森宇建筑技术法律咨询有限公司,zhongbiao_1767007393_15.txt,zhongbiao
TJNK-2025-D-0032)中标公告,天津市第二十五中学 天津市第二十五中学2026年保安服务项目 (项目编号:TJNK-2025-D-0032)中标公告,TJNK-2025-D-0032)中标公告,天津市第二十五中学2026年保安服务项目,天津市第二十五中学,天津市南开区灵隐道14号,18522983579,,统一社会信用代码,安堃,服务,服务要求,1,详见合同,105.955218,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市南开区南门外大街382号 代理机构联系方式: 022-83690959,天津市,服务业,天津市南开区财政服务中心,zhongbiao_1767007394_16.txt,zhongbiao
XYGK2025339)中标公告,天津港保税区城市环境管理局 2026-2027年天津港保税区涉气污染源工况用电监控服务项目 (项目编号:XYGK2025339)中标公告,XYGK2025339)中标公告,2026-2027年天津港保税区涉气污染源工况用电监控服务项目,天津港保税区城市环境管理局,天津港保税区临港渤海十二南路2336号临港商务大厦,022-84841134,宁波净美智能科技有限公司,统一社会信用代码,刘雅楠、高园园、徐秀娜、吴强、罗玉颖,服务,服务要求,1,详见合同,129.600000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河西区解放南路279号利和大厦7层 代理机构联系方式: 022-23393292,天津市,服务业,天津兴业工程咨询有限公司,zhongbiao_1767007398_17.txt,zhongbiao
JZCG2025-XH-014)中标公告,天津市蓟州区人工影响天气办公室机关 天津市蓟州区人工影响天气办公室炮站作业人员劳务派遣服务项目 (项目编号:JZCG2025-XH-014)中标公告,JZCG2025-XH-014)中标公告,天津市蓟州区人工影响天气办公室炮站作业人员劳务派遣服务项目,天津市蓟州区人工影响天气办公室机关,天津市蓟州区府前街2号,13820212311,,统一社会信用代码,穆继超,服务,服务要求,1,详见合同,132.994000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市蓟州区万科云山南门配建1底商三楼 代理机构联系方式: 022-22775281,天津市,服务业,天津鑫宏工程造价咨询有限公司,zhongbiao_1767007400_18.txt,zhongbiao
TGPC-2025-D-1323)中标公告,天津公安警官职业学院 天津公安警官职业学院物业管理项目 (项目编号:TGPC-2025-D-1323)中标公告,TGPC-2025-D-1323)中标公告,天津公安警官职业学院物业管理项目,天津公安警官职业学院,天津市西青区精武镇陈台子路88号,022-59561169,,统一社会信用代码,李娟,其他,服务要求,1,详见合同,306.314880,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河东区红星路79号二楼 代理机构联系方式: 022-24538225,天津市,服务业,天津市政府采购中心,zhongbiao_1767007403_19.txt,zhongbiao
ZDZB-2025-097)中标公告,天津市津南区网格化管理中心机关 12345政务服务便民热线服务项目 (项目编号:ZDZB-2025-097)中标公告,ZDZB-2025-097)中标公告,12345政务服务便民热线服务项目,天津市津南区网格化管理中心机关,天津市津南区国家农业园区科技大道与联顺东路交口,28559128,,统一社会信用代码,王曼玉,服务,服务要求,1,详见合同,94.000000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市津南区咸水沽镇东旺家园10号楼底商 代理机构联系方式: 18222548420,天津市,服务业,天津中鼎工程咨询有限公司,zhongbiao_1767007409_1.txt,zhongbiao
TJYNSJ-2025-H-128)中标公告,天津中医药大学第一附属医院 天津中医药大学第一附属医院中医药传承创新工程暨北院区提升改造工程食堂设备采购项目 (项目编号:TJYNSJ-2025-H-128)中标公告,TJYNSJ-2025-H-128)中标公告,天津中医药大学第一附属医院中医药传承创新工程暨北院区提升改造工程食堂设备采购项目,天津中医药大学第一附属医院,天津市西青区昌凌路88号,022-27986276,,统一社会信用代码,高婵、商雅萌,设备,详见招标文件,1,详见合同,143.903200,详见合同,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河西区洞庭路16号美年广场3号楼21门 代理机构联系方式: 022-88391355,天津市,医疗健康,天津一诺世纪招标代理有限公司,zhongbiao_1767007410_2.txt,zhongbiao
TGPC-2025-D-1328)中标公告,天津市津南区生态环境局机关 天津市津南区生态环境局-津南区生态环境一体化智慧监管平台项目 (项目编号:TGPC-2025-D-1328)中标公告,TGPC-2025-D-1328)中标公告,天津市津南区生态环境局-津南区生态环境一体化智慧监管平台项目,天津市津南区生态环境局机关,天津市津南区咸水沽镇津沽公路295号,022-28519656,,统一社会信用代码,李楠,其他,服务要求,1,详见合同,226.000000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,天津市河东区红星路79号二楼 代理机构联系方式: 022-24538225,天津市,环境保护,天津市政府采购中心,zhongbiao_1767007417_3.txt,zhongbiao
,采编设备和办公设备购置项目(二包)二次中标公告,,采编设备和办公设备购置项目(二包)二次中标公告,环县融媒体中心,,18093415750,供应商联系地址,,郭锋,设备,详见招标文件,1,详见合同,37.930000,详见合同,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,代理机构联系方式: 18093421199,甘肃省,设备采购,,zhongbiao_1767007421_4.txt,zhongbiao
,重庆市应急管理系统综合行政执法制式服装和标志采购(CQS25A04604)中标（成交）结果公告,,重庆市应急管理系统综合行政执法制式服装和标志采购,重庆市应急管理局,重庆市渝北区青枫北路高科·双子座B座8楼,,重庆段氏服饰实业有限公司,重庆市渝北区回兴街道锦衣路8号,胡老师,其他,详见招标文件,1,详见合同,"4,735,750.00元",详见合同,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,重庆市江北区天澜大道11号星耀天地1栋402,重庆市,软件开发,中建投（重庆）招标代理有限公司,zhongbiao_1767007423_5.txt,zhongbiao
青海省招公招（服务）2025-106,青海省住房公积金数字化监督管理和服务赋能平台建设项目中标(成交)结果公告,青海省招公招（服务）2025-106,青海省住房公积金数字化监督管理和服务赋能平台建设项目,青海省住房和城乡建设厅,,0971-6103602,(排名及总分）,1,刘建华,服务,服务要求,1,详见合同,1188.400000,服务标准,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,代理机构联系方式: 0971-6327712,青海省,建筑工程,,zhongbiao_1767007428_6.txt,zhongbiao
,武汉市公安局江夏区分局本级2025-2026年度江夏区交通设施及智能交通设施维护维修项目中标(成交)结果公告,,武汉市公安局江夏区分局本级2025-2026年度江夏区交通设施及智能交通设施维护维修项目中标(成交)结果公告,武汉市公安局江夏区分局本级,,027-86636552,扬州市润通交通设施工程有限公司,江苏省扬州市经济开发区兰亭公馆3幢402-406号,汤代明,其他,详见招标文件,1,详见合同,96,1年（本项目执行过程中，采购人对中标人进行考核，考核合格后，采购人视情况有权续签下一服务周期的服务合同，最多续签两次）。,公开招标,2025年12月29日 18:50,2025年12月29日 18:50,代理机构联系方式: 18064039496,江苏省,交通运输,,zhongbiao_1767007429_7.txt,zhongbiao
,武汉市公安局硚口区分局分局2026辅警及禁毒社工劳务派遣服务结果公告,,武汉市公安局硚口区分局分局2026辅警及禁毒社工劳务派遣服务结果公告,武汉市公安局硚口区分局,,027-85395001,湖北华夏创业管理顾问有限公司,武汉市江汉区中央商务区泛海国际SOHO城3号楼23层3、4、5室,赵钢、熊棪余。,服务,详见磋商文件,1,详见合同,0.048,一年（自合同签订之日起12个月），服务期满后采购人将对成交供应商进行综合考评，依据相关法规、政策和综合考评情况可续签下一年服务合同，续签最长不超过两年。,公开招标,2025年12月29日 18:49,2025年12月29日 18:49,代理机构联系方式: 027-85870905,湖北省,服务业,,zhongbiao_1767007432_8.txt,zhongbiao
