商品名称,关键词,链接,价格,供应商,地址,图片链接,描述,来源,采集时间,collection_time,product_category,supplier
盛虎博物馆智能枪柜厂家 防盗柜规格 保险柜尺寸,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=http%3A%2F%2Fwww.qianyuwang.com%2Foffer%2F338323545.html&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E7%9B%9B%E8%99%8E&timeSignOri=1768639207&xzhid=27802627&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=df61fd21e5751304ad0db7d3c4aac348&qid=6391110673906334&sv_cr=0&jid=1768962723&uign=2b29e5736ce4a6cc11c045a19dbb4a30&ii_pos=5&nquery=&lattr=ot,3200.00元/套,河北盛虎柜业有限公司,河北衡水,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3655440425,3160168663&fm=199&app=68&f=JPEG?w=750&h=600&s=47B1AC604CB4069E831105800100A080",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:22,2026-01-17 16:40:22,其他,河北盛虎柜业有限公司
银行业务库银行保险柜三类库异地值守智能系统防磁防潮双重保障,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1826896201982889858&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E5%87%AF%E7%A5%BA&timeSignOri=1768639207&xzhid=29956775&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=7a3d774ef9478c0bcc7396b56a792605&qid=6391110673906334&sv_cr=0&jid=1768962724&uign=35064d5ce6e3d0097f5b1e2f0381862e&ii_pos=6&nquery=&lattr=ot,2.46万/台,河北凯祺安防设备有限公司,河北省衡水市枣强县枣强镇李武庄,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=2639350424,1668409190&fm=199&app=68&f=JPEG?w=750&h=750&s=72C3DB1E099EE4CA5CDC90C8030070B5",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:23,2026-01-17 16:40:23,其他,河北凯祺安防设备有限公司
装备柜 电子器材柜 防暴器材工具保险柜 新财生产厂家,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1826648464467441354&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E6%96%B0%E8%B4%A2&timeSignOri=1768639207&xzhid=46797256&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=c7af188a109850b8140713c73cab9f1a&qid=6391110673906334&sv_cr=0&jid=1768962725&uign=357760b44906117d24349f98167b1270&ii_pos=7&nquery=&lattr=ot,200.00元/台,河北新财柜业有限公司,武邑县肖桥头镇大白塔村,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3484673055,3754864397&fm=199&app=68&f=JPEG?w=750&h=750&s=B182F8B046E7B2EA58B9C1920300D088",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:23,2026-01-17 16:40:23,电子,河北新财柜业有限公司
重型收纳双久小型保险柜厂家档案柜sj-bmg-092,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=http%3A%2F%2Fwww.912688.com%2Fsupply%2F403391873.html&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E5%8F%8C%E4%B9%85&timeSignOri=1768639207&xzhid=29413522&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=3a7d82b809213af2d94cf45049ba1b0f&qid=6391110673906334&sv_cr=0&jid=1768962726&uign=5bad20b995efa5b16eb310fc252f6fa2&lattr=ot,400.00元/台,杭州双久金属科技有限公司,浙江杭州,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=365296859,1622264771&fm=199&app=68&f=JPEG?w=750&h=750&s=F39C6D2314E6F0BE8D5D4EEA0300E036",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:24,2026-01-17 16:40:24,其他,杭州双久金属科技有限公司
虎牌保险柜 家用首饰保管箱 投币寄存柜 取物操作简单 多种款式定做,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1833316700855556311&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E8%99%8E%E7%89%8C&timeSignOri=1768639207&xzhid=68317649&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=8eeb05b4034299bf6b1c412f4337b4d8&qid=6391110673906334&sv_cr=0&jid=1768962727&uign=79ba3bffc214407e47e52d1174fc91c1&lattr=ot,450.00元/台,河北特旺柜业有限公司,武邑县桥头镇东逍遥村东南,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=1429416304,3456345015&fm=199&app=68&f=JPEG?w=750&h=750&s=A8F55390485542C848A02077030090EA",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:25,2026-01-17 16:40:25,其他,河北特旺柜业有限公司
不锈钢保密柜保险柜办公智能国保指纹电子锁文件档案资料会计柜子,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1825310702319057216&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E6%9D%B0%E9%A1%BA&timeSignOri=1768639207&xzhid=39335772&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=1a8964bd351144cd0fa002f0fe94d600&qid=6391110673906334&sv_cr=0&jid=1768962728&uign=776aa45878670abd592fc1560fceb807&lattr=ot,750.00元/套,河北杰顺柜业有限公司,武邑县肖桥头镇吴桥头村村东,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=3728749127,2552321278&fm=199&app=68&f=JPEG?w=750&h=750&s=19307D9442077AF818A40CDB030010E2",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:25,2026-01-17 16:40:25,电子,河北杰顺柜业有限公司
智能枪柜电子密码枪弹柜武器枪支保险柜储物柜,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1717296072169168274&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E4%BD%B3%E8%AF%9A&timeSignOri=1768639207&xzhid=36612156&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=0a4d87da5cdba5ec4419ecea4c4a9bee&qid=6391110673906334&sv_cr=0&jid=1768962729&uign=6d9c21784019260134a6cc68177ec6af&lattr=ot,600.00元/台,河北佳诚钢木家具有限公司,河北省衡水市武邑县桥头镇东孟桥头村1区6号,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=1086950298,3609506735&fm=199&app=68&f=JPEG?w=750&h=750&s=4088B7524ABF33984AB1A117030010E0",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:26,2026-01-17 16:40:26,电子,河北佳诚钢木家具有限公司
电子密码保险柜加厚不锈钢防爆银行金店库房家用外壳钣金加工,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=http%3A%2F%2Fwww.bjweizhifu.com%2Fsell%2Fshow-177162003099259351.html&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E5%8F%8B%E8%81%94&timeSignOri=1768639207&xzhid=33030084&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=ea3e000ea54302081b27a5ae7fe8fbaa&qid=6391110673906334&sv_cr=0&jid=1768962730&uign=445839dcf5184a6f6998b5dd6917eaee&lattr=ot,71.00元/台,东莞市友联展示科技有限公司,广东东莞,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=3770257812,3831799910&fm=199&app=68&f=JPEG?w=750&h=750&s=B132E432491576CA9C5915C70100A0A0",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:26,2026-01-17 16:40:26,电子,东莞市友联展示科技有限公司
至诚国誉电子密码保险柜 珠宝柜双层对开门支持定制,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fwww.china.cn%2Fbaoxiangui1%2F4772970348.html&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E8%87%B3%E8%AF%9A%E5%9B%BD%E8%AA%89&timeSignOri=1768639207&xzhid=50360211&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=6974062ce3325d1e8442a1f7bc11d180&qid=6391110673906334&sv_cr=0&jid=1768962731&uign=675fbbb4937d0d84305b15952584c1ef&lattr=ot,180.00元/台,乌鲁木齐至诚国誉商贸有限公司,新疆乌鲁木齐,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=3492119478,3762462522&fm=199&app=68&f=JPEG?w=750&h=750&s=FC3AA757D83552090EBAC9780300106B",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:27,2026-01-17 16:40:27,电子,乌鲁木齐至诚国誉商贸有限公司
中亿 福瑞2代 指纹密码保险箱防盗 家用办公保险柜,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1759581622766473561&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E4%B8%AD%E4%BA%BF&timeSignOri=1768639207&xzhid=44117391&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=af7fc3e51729130ea5ca3a9a705c9838&qid=6391110673906334&sv_cr=0&jid=1768962732&uign=7bd784ae36f906f6af001923c54c1b8,480.00元/台,南京方韬金融设备有限公司,南京市秦淮区中山南路315，313号2001室,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=4171215635,3074986285&fm=199&app=68&f=JPEG?w=633&h=750&s=65973DD74EF7469A9A25787603005078",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:27,2026-01-17 16:40:27,办公,南京方韬金融设备有限公司
合兴 双开智能枪柜 联网枪械柜防爆枪支保险柜尺寸可订做,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Facg.qunke.com%2Fcompany%2Fhehxgy%2Fproductshow%2F4640746&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E5%90%88%E5%85%B4&timeSignOri=1768639207&xzhid=33095059&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=9b7a46d05338221fa4b2a2c14167ee41&qid=6391110673906334&sv_cr=0&jid=1768962733&uign=665b357a5159d3057b352d82e9a34f0&lattr=ot,2100.00元/台,河北合兴柜业有限公司,河北衡水,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=587752617,2936740856&fm=199&app=68&f=JPEG?w=750&h=750&s=DA7863DB471607D81041421C030080C6",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:27,2026-01-17 16:40:27,其他,河北合兴柜业有限公司
保密柜 智能加密文件柜 智能保管柜 电子指纹保险柜,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1834835987438255933&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E6%B2%B3%E5%8C%97%E5%90%89%E4%BA%A8&timeSignOri=1768639207&xzhid=64266806&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=9662bf9e220dee7c45e6f26ef22c9efe&qid=6391110673906334&sv_cr=0&jid=1768962734&uign=d6fe896eafe39a51e26484b6711438&lattr=ot,650.00元/个,河北吉亨智能科技有限公司,武邑县肖桥头镇肖桥头村3区11号,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=8876731,3075525568&fm=199&app=68&f=JPEG?w=750&h=750&s=AC925F970E77769A93B151470300E0F2",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:28,2026-01-17 16:40:28,电子,河北吉亨智能科技有限公司
3c认证办公室电子密码保险柜 贵重物品家用防盗保管箱 支持定制 厂家,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1788266721117665008&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E8%99%8E%E7%89%8C&timeSignOri=1768639207&xzhid=52193870&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=baee9e1374342125cea8a8a57ad75115&qid=6391110673906334&sv_cr=0&jid=1768962735&uign=2e9ecb38016a2f256313f2f0b01a1f90&lattr=ot,420.00元/台,河北裕盛弘钢木家具有限公司,武邑县桥头镇东孟桥头村3区6号,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=3718230786,2150605707&fm=199&app=68&f=JPEG?w=750&h=750&s=A28265A752E7B2FA5035DD9303004081",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:28,2026-01-17 16:40:28,电子,河北裕盛弘钢木家具有限公司
携枪柜保险柜 便携厂家 定制加厚智能枪柜 弹药柜,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1835444710621615873&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E5%8D%9A%E5%BC%BA&timeSignOri=1768639207&xzhid=46221389&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=bf706f08f06362369fc5802b43ed9382&qid=6391110673906334&sv_cr=0&jid=1768962736&uign=1a8085544fed192273c4a1b669f2c80a&lattr=ot,1150.00元/台,河北博强柜业有限公司,武邑县桥头镇光明村村东,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=3431069073,630596316&fm=199&app=68&f=JPEG?w=750&h=750&s=EC004294565753DE1418A4D8030030BB",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:29,2026-01-17 16:40:29,其他,河北博强柜业有限公司
鼎通智能枪柜电子密码枪弹柜武器枪支保险柜储物柜厂家,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1789123067668397940&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E9%BC%8E%E9%80%9A&timeSignOri=1768639207&xzhid=51798226&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=b308346cf8de80b6de766a25bec452dd&qid=6391110673906334&sv_cr=0&jid=1768962737&uign=1e2c491a31f0a9fb4d43e3f961ac0f97&lattr=ot,580.00元/台,河北鼎通金属制品有限公司,武邑县肖桥头镇王桥头村村西,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=4173720653,2192542160&fm=199&app=68&f=JPEG?w=750&h=750&s=59A22ED64A77B2CE5EB9281D0300E041",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:30,2026-01-17 16:40:30,电子,河北鼎通金属制品有限公司
全钢防盗·智能指纹家用保险柜 高密度合金柜体 办公家用双场景适用,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1829640584914775707&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E6%98%93%E5%AD%98%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80+EHUB+SMART+TECHNOLOGY&timeSignOri=1768639207&xzhid=33314531&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=da2250022774767c9280e6e5fa3644dd&qid=6391110673906334&sv_cr=0&jid=1768962738&uign=5ad31e2fba22fe34ab53f583f1d3523&lattr=ot,458.00元/个,洛阳易存智能科技有限公司,洛阳市伊滨区庞村镇窑沟村顾龙路北,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=3258354043,3071323330&fm=199&app=68&f=JPEG?w=750&h=750&s=2B725C94008646EF9EA0A0F0030040B3",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:30,2026-01-17 16:40:30,办公,洛阳易存智能科技有限公司
歌派双开门电子保密柜 文件加密保险柜 国宝锁文件存放柜 工艺先进,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1825087274088708406&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E6%AD%8C%E6%B4%BE&timeSignOri=1768639207&xzhid=34619089&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=b77964a2e7fd0abb59a59034fef4a1ef&qid=6391110673906334&sv_cr=0&jid=1768962739&uign=5652570eb9249d1413f31790d5778ae7&lattr=ot,3199.00元/套,郑州金科密源电子技术有限公司,郑州市金水区东风路82号院20号楼16层96号,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=671342081,4113531107&fm=199&app=68&f=JPEG?w=750&h=750&s=12B57984E04786FFDD3971970300C080",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:31,2026-01-17 16:40:31,电子,郑州金科密源电子技术有限公司
得力（deli）AE132 指纹/电子密码保险柜 保管箱 高80cm 黑 /台,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1781438338518577959&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E5%BE%97%E5%8A%9B&timeSignOri=1768639207&xzhid=40507724&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=d08bdd830d1793b2970ea394f0279ee2&qid=6391110673906334&sv_cr=0&jid=1768962740&uign=218a0b740ad7e2e55591f9f8800ee3c0&lattr=ot,1016.00元/个,河南捌伍陆办公设备有限公司,河南省郑州市市辖区郑东新区十里铺街18号大邢屯社区9号楼1单元1楼西户,"https://ss0.baidu.com/6ONWsjip0QIZ8tyhnq/it/u=664155059,1097889764&fm=199&app=68&f=JPEG?w=750&h=750&s=3DAE7833E377579AC4E561DE0100C0A1",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:31,2026-01-17 16:40:31,电子,河南捌伍陆办公设备有限公司
衡利丰 双开枪弹保险柜 长短枪械柜 智能枪柜 远程控制,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1740219344435324482&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E8%A1%A1%E5%88%A9%E4%B8%B0&timeSignOri=1768639207&xzhid=40151512&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=8ea8a228d0f94f5c0b9aa5a909fc9420&qid=6391110673906334&sv_cr=0&jid=1768962741&uign=644e93eb456cf3553aaaa342d8839fca&lattr=ot,2300.00元/台,河北鑫谱金属制品有限公司,武邑县肖桥头镇桥头村南,"https://ss2.baidu.com/6ONYsjip0QIZ8tyhnq/it/u=140497626,1103939548&fm=199&app=68&f=JPEG?w=750&h=750&s=5EB9AF47CED733C84EB1F0070100A0E1",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:32,2026-01-17 16:40:32,其他,河北鑫谱金属制品有限公司
电子密码文件柜指纹锁保密柜加厚办公资料档案铁皮柜国保锁保险柜,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1813515294834836208&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E9%91%AB%E6%B3%89&timeSignOri=1768639207&xzhid=56964054&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=ae0d12e7bf87132c5ad7b1fc01d9c33d&qid=6391110673906334&sv_cr=0&jid=1768962742&uign=52723146f5bac9fb6fd31c25e08d40ae&lattr=ot,220.00元/件,河北鑫泉柜业有限公司,武邑县桥头镇大白塔村,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2361021970,383848726&fm=199&app=68&f=JPEG?w=750&h=750&s=591AA355025657DED618884503002063",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:32,2026-01-17 16:40:32,电子,河北鑫泉柜业有限公司
钢制保密柜 智能密码柜 密码文件柜 保险柜 认证产品 质量上乘,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1849292558969488170&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E5%9B%BA%E4%B9%90%E8%AF%9A&timeSignOri=1768639207&xzhid=75700485&iswapurl=0&category=%E5%8A%9E%E5%85%AC%E6%96%87%E6%95%99%3B%E9%98%B2%E7%9B%97%E6%8A%A5%E8%AD%A6%E8%AE%BE%E5%A4%87%3B%E4%BF%9D%E9%99%A9%E6%9F%9C%2F%E9%98%B2%E7%9B%97%E6%9F%9C&iid=1a15d0a5b14017b4e9e5023d565dad76&qid=6391110673906334&sv_cr=0&jid=1768962743&uign=71df425f9c739cd45bb5f54405faeac4&lattr=ot,1470.00元/台,北京金诚恒盛科技有限公司,北京市怀柔区乐园西大街13号院28号楼1层28-3（集群注册）,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2143410365,2906410326&fm=199&app=68&f=JPEG?w=750&h=750&s=2E8E762377E772BB18D0C0CA0100E0B1",类别：办公文教;防盗报警设备;保险柜/防盗柜,百度爱采购,2026-01-17 16:40:33,2026-01-17 16:40:33,其他,北京金诚恒盛科技有限公司
智能装备柜 电子器材柜 工具柜装备保险柜 规格多样,保险柜,https://b2b.baidu.com/b2bsearch/jump?url=https%3A%2F%2Fb2bwork.baidu.com%2Fland%3Flid%3D1824553873471773324&query=%E4%BF%9D%E9%99%A9%E6%9F%9C&logid=1300225549250135633&brand=%E8%8A%B3%E4%BF%A1&timeSignOri=1768639207&xzhid=64119758&iswapurl=0&category=%E5%AE%89%E5%85%A8%E9%98%B2%E6%8A%A4%3B%E9%98%B2%E7%9B%97%E8%AD%A6%E6%8A%A5%3B%E4%BF%9D%E9%99%A9%E6%9F%9C&iid=332e7d6ca520a30ccc99ef5307c56f88&qid=6391110673906334&sv_cr=0&jid=1768962744&uign=7409ebf63708c9574bfc64ee9e103cd8&lattr=ot,450.00元/台,河北芳信智能科技有限公司,河北省衡水市武邑县桥头镇利民路66号,"https://ss1.baidu.com/6ONXsjip0QIZ8tyhnq/it/u=2619384249,1824339657&fm=199&app=68&f=JPEG?w=750&h=750&s=8D9460954EA6B6DA08B5858703003080",类别：安全防护;防盗警报;保险柜,百度爱采购,2026-01-17 16:40:34,2026-01-17 16:40:34,电子,河北芳信智能科技有限公司
